row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'happy expression'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white fur', 'neutral expression'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'asks', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}], 'uncertain': [{'description': ""Crong's position or action"", 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy with an orange fur and a happy expression.', 'center': 'Unclear area, possibly where Crong is located.', 'right': 'Poby with white fur and a neutral expression.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'Snowy landscape with ice formations.'}}","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['blue jacket', 'round body'], 'location': ['center', 'center']}, {'name': 'Crong', 'attributes': ['green color', 'small size'], 'location': ['left', 'left']}, {'name': 'Eddy', 'attributes': ['orange color', 'pointy ears'], 'location': ['right', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Crong', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Eddy', 'action': 'show', 'object': 'toy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Crong'}, {'subject': 'Eddy', 'relation': 'facing', 'object': 'Pororo'}, {'subject': 'Eddy', 'relation': 'facing', 'object': 'Crong'}], 'uncertain': [{'description': 'details of the toy', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is standing and looking at Eddy.', 'center': 'Pororo is facing Eddy, showing interest.', 'right': 'Eddy is displaying a toy to his friends.', 'foreground': 'The toy is partially visible but unclear.', 'background': 'Bookshelves are visible with books.'}}","yes, eddy's friends pororo and crong showed interest in seeing his new toy by looking at it and running toward it.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fox', 'smiling'], 'location': ['foreground', 'center']}, {'name': 'book', 'attributes': ['closed', 'held by Eddy'], 'location': ['foreground', 'center']}, {'name': 'bookshelf', 'attributes': ['wooden', 'filled with colorful books'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'holds', 'object': 'book'}], 'relationships': [{'subject': 'Eddy', 'relation': 'in front of', 'object': 'bookshelf'}], 'uncertain': [{'description': 'details of the book cover', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy, an orange fox, is smiling while holding a book.', 'right': 'The right region is empty.', 'foreground': 'Eddy is in the foreground, holding a book with a joyful expression.', 'background': 'A bookshelf filled with colorful books is in the background.'}}","eddy exclaimed, ""what should i make today?"" while joyfully holding the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'small', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['blue', 'small', 'wearing goggles and a hat'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'lowers', 'object': 'head'}, {'subject': 'Loopy', 'action': 'stands', 'object': None}], 'relationships': [{'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Pororo'}], 'uncertain': [{'description': 'details about the background scenery', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy stands on the left, looking at Pororo.', 'center': 'Pororo is in the center, lowering his head.', 'right': 'The right region is empty.', 'foreground': 'Loopy and Pororo are in the foreground.', 'background': 'The background features snowy trees and a blue sky.'}}","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in the moment.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"{'description': 'Sure! Here are the structured JSON outputs based on the provided image and context.\n Task 1 - Structured Scene Understanding\njson\n{\n  ""objects"": [\n    {\n      ""name"": ""Pororo"",\n      ""attributes"": [""wearing goggles"", ""blue outfit""],\n      ""location"": [""foreground"", ""left""]\n    },\n    {\n      ""name"": ""Crong"",\n      ""attributes"": [""green color"", ""angry expression""],\n      ""location"": [""foreground"", ""right""]\n    }\n  ],\n  ""actions"": [\n    {\n      ""subject"": ""Crong"",\n      ""action"": ""looks"",\n      ""object"": ""Pororo""\n    }\n  ],\n  ""relationships"": [\n    {\n      ""subject"": ""Pororo"",\n      ""relation"": ""next to"",\n      ""object"": ""Crong""\n    }\n  ],\n  ""uncertain"": []\n}\n Task 2 - Region-based Captions\njson\n{\n  ""left"": ""Pororo with goggles and a blue outfit is visible."",\n  ""center"": ""The table is present but not detailed."",\n  ""right"": ""Crong with an angry expression is visible."",\n  ""foreground"": ""Pororo and Crong are in the foreground."",\n  ""background"": ""The background shows a simple room setting.""\n}'}",a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"{'description': '{\n  ""objects"": [\n    {\n      ""name"": ""Poby"",\n      ""attributes"": [""polar bear"", ""gray"", ""small""],\n      ""location"": [""foreground"", ""center""]\n    }\n  ],\n  ""actions"": [\n    {\n      ""subject"": ""Poby"",\n      ""action"": ""moves"",\n      ""object"": ""feet""\n    }\n  ],\n  ""relationships"": [],\n  ""uncertain"": []\n}\n{\n  ""left"": ""The left region is empty."",\n  ""center"": ""Poby, a small gray polar bear, is moving his feet."",\n  ""right"": ""The right region is empty."",\n  ""foreground"": ""Poby is in the foreground, actively moving."",\n  ""background"": ""The background features icy blue elements, but details are unclear.""\n}'}","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['lowered ears'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': [], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['covered with dirt'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'talking', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'looking at', 'object': 'Loopy'}, {'subject': 'Eddy', 'relation': 'looking at', 'object': 'Pororo'}, {'subject': 'Loopy', 'relation': 'looking at', 'object': 'Pororo'}], 'uncertain': [{'description': 'details about the box', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy is present, looking at Pororo.', 'center': 'Eddy is talking with lowered ears.', 'right': 'Pororo is covered with dirt, looking at the same place.', 'foreground': 'Eddy, Loopy, and Pororo are all in the foreground.', 'background': ""The background is unclear, possibly showing elements of Loopy's house.""}}",eddy confesses that he placed the box in loopy's house.,"0.0,0.0,0.0",0.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing goggles', 'blue and white body'], 'location': ['center', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'smiling'], 'location': ['background', 'right']}, {'name': 'Crong', 'attributes': ['green color', 'eyes closed'], 'location': ['center', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'lowers', 'object': 'head'}, {'subject': 'Pororo', 'action': 'looks up', 'object': None}, {'subject': 'Crong', 'action': 'looks at', 'object': 'Pororo'}, {'subject': 'Crong', 'action': 'closes', 'object': 'eyes'}], 'relationships': [{'subject': 'Pororo', 'relation': 'to the left of', 'object': 'Crong'}, {'subject': 'Loopy', 'relation': 'behind', 'object': 'Pororo'}, {'subject': 'Crong', 'relation': 'to the right of', 'object': 'Pororo'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Pororo is visible, wearing goggles and looking concerned.', 'center': 'Crong is looking at Pororo with closed eyes.', 'right': 'Loopy is in the background, smiling.', 'foreground': 'The table is visible with no specific objects.', 'background': 'The background is unclear with indistinct details.'}}","""crong, i apologize; i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'sitting'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'sits', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and sitting at a table.', 'right': 'The right region is empty.', 'foreground': 'Eddy is the only character visible in the foreground.', 'background': 'The background contains indistinct objects and decorations.'}}","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'white fur', 'smiling'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'smiling'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'gathers', 'object': 'hands'}, {'subject': 'Poby', 'action': 'claps', 'object': 'hands'}, {'subject': 'Loopy', 'action': 'claps', 'object': 'hands'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Poby is smiling and gathering his hands.', 'center': 'No clear content.', 'right': 'Loopy is smiling and clapping.', 'foreground': 'Poby and Loopy are both visible and engaged in clapping.', 'background': 'The interior of a cozy room is visible with wooden walls.'}}","eddy's entrance impressed the audience, as indicated by poby and loopy clapping and expressing excitement.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"{'description': 'Task 1 - Structured Scene Understanding\njson\n{\n  ""objects"": [\n    {\n      ""name"": ""basketball"",\n      ""attributes"": [""orange"", ""round""],\n      ""location"": [""foreground"", ""center""]\n    },\n    {\n      ""name"": ""basket"",\n      ""attributes"": [""metal"", ""attached to wall""],\n      ""location"": [""foreground"", ""center""]\n    },\n    {\n      ""name"": ""window"",\n      ""attributes"": [""wooden frame"", ""two panes""],\n      ""location"": [""background"", ""left""]\n    },\n    {\n      ""name"": ""photo"",\n      ""attributes"": [""framed"", ""hanging on wall""],\n      ""location"": [""background"", ""right""]\n    }\n  ],\n  ""actions"": [\n    {\n      ""subject"": ""basketball"",\n      ""action"": ""is near"",\n      ""object"": ""basket""\n    }\n  ],\n  ""relationships"": [\n    {\n      ""subject"": ""basketball"",\n      ""relation"": ""above"",\n      ""object"": ""basket""\n    },\n    {\n      ""subject"": ""window"",\n      ""relation"": ""to the left of"",\n      ""object"": ""basket""\n    },\n    {\n      ""subject"": ""photo"",\n      ""relation"": ""to the right of"",\n      ""object"": ""basket""\n    }\n  ],\n  ""uncertain"": [\n    {\n      ""description"": ""Crong\'s presence or actions"",\n      ""location"": [""foreground"", ""center""]\n    }\n  ]\n}\n Task 2 - Region-based Captions\njson\n{\n  ""left"": ""A wooden-framed window is visible."",\n  ""center"": ""A basketball is positioned above a metal basket."",\n  ""right"": ""A framed photo is hanging on the wall."",\n  ""foreground"": ""The basketball and basket are clearly visible."",\n  ""background"": ""The wall is plain with a window and a photo.""\n}'}","crong did not score after he shot the ball at the hoop, as he missed his shot.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['polar bear', 'white color'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'apologizing', 'object': 'Poby'}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Poby'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Pororo is visible, looking at Poby with an apologetic expression.', 'center': 'The area is focused on the interaction between Pororo and Poby.', 'right': 'Poby is visible, appearing to listen to Pororo.', 'foreground': 'Both Pororo and Poby are in the foreground, engaged in conversation.', 'background': ""The interior of Poby's house is visible, with some unclear details.""}}","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['wearing a helmet', 'blue and orange color'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white bear', 'standing'], 'location': ['foreground', 'center']}, {'name': 'suitcase', 'attributes': ['black', 'open'], 'location': ['foreground', 'right']}, {'name': 'bed', 'attributes': ['not visible in detail'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'speaking', 'object': 'Poby'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}, {'subject': 'Poby', 'relation': 'in front of', 'object': 'suitcase'}], 'uncertain': [{'description': 'details of the bed', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy is standing with a helmet on.', 'center': 'Poby, the white bear, is standing.', 'right': 'An open black suitcase is on the ground.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'A bed is present but not clearly visible.'}}","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['small', 'blue outfit', 'wearing a helmet'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['large', 'white bear'], 'location': ['foreground', 'left']}, {'name': 'camera', 'attributes': ['small', 'on the floor'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'left', 'object': 'camera'}], 'relationships': [{'subject': 'Pororo', 'relation': 'standing next to', 'object': 'Poby'}, {'subject': 'camera', 'relation': 'on the floor near', 'object': 'Pororo'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, the white bear, stands still.', 'center': 'Pororo is walking away, leaving a camera on the floor.', 'right': 'The right region is empty.', 'foreground': 'Pororo and Poby are in the foreground with the camera on the floor.', 'background': 'The background contains unclear details, possibly furniture or decorations.'}}",pororo almost forgets to leave with the camera he placed on the floor.,"0.5,0.5,0.5",0.5
