row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'happy expression'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white fur', 'neutral expression'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'asks', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}], 'uncertain': [{'description': ""Crong's position"", 'location': ['background', 'unclear']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy with an orange fur and a happy expression is visible.', 'center': 'The area is unclear or empty.', 'right': 'Poby with white fur and a neutral expression is visible.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'The background is snowy with unclear details.'}}","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","{'raw': 'Sure! Here are the structured JSON outputs based on the provided image and context.\n\n### Task 1 - Structured Scene Understanding:\n```json\n{\n  ""objects"": [\n    {""name"": ""Pororo"", ""attributes"": [""blue outfit"", ""small"", ""penguin""], ""location"": [""center"", ""center""]},\n    {""name"": ""Crong"", ""attributes"": [""green"", ""small"", ""dinosaur""], ""location"": [""left"", ""left""]},\n    {""name"": ""Eddy"", ""attributes"": [""orange outfit"", ""small"", ""fox""], ""location"": [""right"", ""right""]}\n  ],\n  ""actions"": [\n    {""subject"": ""Pororo"", ""action"": ""look at"", ""object"": ""Eddy""},\n    {""subject"": ""Crong"", ""action"": ""look at"", ""object"": ""Eddy""},\n    {""subject"": ""Eddy"", ""action"": ""show"", ""object"": ""toy""}\n  ],\n  ""relationships"": [\n    {""subject"": ""Pororo"", ""relation"": ""next to"", ""object"": ""Crong""},\n    {""subject"": ""Eddy"", ""relation"": ""facing"", ""object"": ""Pororo""},\n    {""subject"": ""Eddy"", ""relation"": ""facing"", ""object"": ""Crong""}\n  ],\n  ""uncertain"": [\n    {""description"": ""details of the toy"", ""location"": [""foreground"", ""center""]}\n  ]\n}\n```\n\n### Task 2 - Region-based Captions:\n```json\n{\n  ""left"": ""Crong, a green dinosaur, is standing on the left."",\n  ""center"": ""Pororo, a blue penguin, is in the center, looking at Eddy."",\n  ""right"": ""Eddy, an orange fox, is on the right, showing a toy."",\n  ""foreground"": ""The characters are in the foreground, with no other objects visible."",\n  ""background"": ""Bookshelves are visible in the background, but details are unclear.""\n}\n```'}","yes, eddy's friends pororo and crong were interested in seeing his new toy as they ran toward it.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'smiling', 'holding a book'], 'location': ['foreground', 'center']}, {'name': 'bookshelf', 'attributes': ['wooden', 'filled with colorful books'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'holds', 'object': 'book'}], 'relationships': [{'subject': 'Eddy', 'relation': 'in front of', 'object': 'bookshelf'}], 'uncertain': [{'description': 'details of the book', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and holding a book.', 'right': 'The right region is empty.', 'foreground': 'Eddy is prominently displayed in the foreground.', 'background': 'A bookshelf filled with colorful books is in the background.'}}","eddy said, ""what should i make today?"" after getting the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'small', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['blue', 'wearing goggles', 'standing'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'looks', 'object': 'ground'}, {'subject': 'Loopy', 'action': 'puts', 'object': 'hands on her sides'}], 'relationships': [{'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Pororo'}], 'uncertain': [{'description': ""Pororo's exact expression or reason for looking down"", 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy stands on the left with hands on her sides.', 'center': 'Pororo stands in the center, looking down.', 'right': 'Empty or unclear.', 'foreground': 'Loopy and Pororo are both in the foreground.', 'background': 'Snowy landscape with trees and a blue sky.'}}","pororo looked to the ground, possibly feeling shy or contemplative while loopy stood confidently beside him.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"{'raw': '### Task 1 - Structured Scene Understanding\n```json\n{\n  ""objects"": [\n    {""name"": ""Pororo"", ""attributes"": [""wearing goggles"", ""blue outfit""], ""location"": [""foreground"", ""left""]},\n    {""name"": ""Crong"", ""attributes"": [""green color"", ""angry expression""], ""location"": [""foreground"", ""right""]}\n  ],\n  ""actions"": [\n    {""subject"": ""Crong"", ""action"": ""looks"", ""object"": ""Pororo""}\n  ],\n  ""relationships"": [\n    {""subject"": ""Pororo"", ""relation"": ""next to"", ""object"": ""Crong""}\n  ],\n  ""uncertain"": []\n}\n```\n\n### Task 2 - Region-based Captions\n```json\n{\n  ""left"": ""Pororo is visible with goggles and a blue outfit."",\n  ""center"": ""The table is present but not detailed."",\n  ""right"": ""Crong is visible with an angry expression."",\n  ""foreground"": ""Pororo and Crong are both in the foreground."",\n  ""background"": ""The background shows a simple room setting.""\n}\n```'}",a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'gray'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Poby', 'action': 'moves', 'object': 'feet'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Poby, a gray polar bear, is moving his feet.', 'right': 'The right region is empty.', 'foreground': 'Poby is in the foreground, actively moving.', 'background': 'The background features icy blue elements.'}}","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['lowered ears'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': [], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['covered with dirt'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'talking', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'looking at', 'object': 'Loopy'}, {'subject': 'Eddy', 'relation': 'looking at', 'object': 'Pororo'}, {'subject': 'Loopy', 'relation': 'looking at', 'object': 'Pororo'}], 'uncertain': [{'description': 'specific details about the box', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy is present, looking towards Pororo.', 'center': 'Eddy is talking with lowered ears.', 'right': 'Pororo is covered with dirt, looking at the same place as Loopy.', 'foreground': 'Eddy, Loopy, and Pororo are all in the foreground.', 'background': ""The background is unclear, possibly showing elements of Loopy's house.""}}",eddy confesses that he placed the box in loopy's house.,"0.0,0.0,0.0",0.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'blue and white'], 'location': ['center', 'left']}, {'name': 'Loopy', 'attributes': ['pink', 'bear-like'], 'location': ['background', 'center']}, {'name': 'Crong', 'attributes': ['green', 'frog-like'], 'location': ['center', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'lowers', 'object': 'head'}, {'subject': 'Pororo', 'action': 'looks up', 'object': None}, {'subject': 'Crong', 'action': 'closes', 'object': 'eyes'}], 'relationships': [{'subject': 'Pororo', 'relation': 'is next to', 'object': 'Crong'}, {'subject': 'Loopy', 'relation': 'is behind', 'object': 'Pororo and Crong'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Pororo is visible, looking concerned.', 'center': 'Loopy is in the background, appearing neutral.', 'right': 'Crong is present, with closed eyes.', 'foreground': 'Pororo and Crong are in the foreground, interacting.', 'background': 'The background is unclear with some indistinct objects.'}}","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","{'raw': '### Task 1 - Structured Scene Understanding\n```json\n{\n  ""objects"": [\n    {\n      ""name"": ""Eddy"",\n      ""attributes"": [""smiling"", ""sitting""],\n      ""location"": [""foreground"", ""center""]\n    }\n  ],\n  ""actions"": [\n    {\n      ""subject"": ""Eddy"",\n      ""action"": ""stands up"",\n      ""object"": null\n    }\n  ],\n  ""relationships"": [],\n  ""uncertain"": []\n}\n```\n\n### Task 2 - Region-based Captions\n```json\n{\n  ""left"": ""The left region is empty."",\n  ""center"": ""Eddy is smiling and sitting at a table."",\n  ""right"": ""The right region is empty."",\n  ""foreground"": ""Eddy is in the foreground, actively engaging."",\n  ""background"": ""The background contains indistinct objects.""\n}\n```'}","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'raising hands'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink beaver', 'smiling'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'talking', 'object': None}, {'subject': 'Poby', 'action': 'gathering', 'object': 'hands'}, {'subject': 'Poby', 'action': 'clapping', 'object': None}, {'subject': 'Loopy', 'action': 'clapping', 'object': None}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Poby, the polar bear, is raising his hands and smiling.', 'center': 'The area is empty or unclear.', 'right': 'Loopy, the pink beaver, is smiling and clapping.', 'foreground': 'Poby and Loopy are both visible and engaged in clapping.', 'background': 'The interior of a wooden house is visible with windows.'}}","eddy's entrance impressed the audience, as evidenced by poby and loopy clapping and expressing excitement with ""wow eddy cool.""","1.0,1.0,1.0",1.0
