row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"Eddy asks Pororo, ""What are you doing?"" 

In the scene, Eddy, an orange fox, stands outside on the ice with a cheerful expression, while a white bear, Poby, is beside him.","eddy asks pororo, ""what are you doing?"" while standing outside on the ice with poby.","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","Eddy's friends, Pororo and Crong, show interest in his new toy as they look at it and run toward it. 

Pororo, a blue penguin, and Crong, a green dinosaur, are positioned in a cozy indoor setting with bookshelves.","eddy's friends, pororo and crong, were clearly interested in his new toy as they looked at it and ran toward it.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy, an orange fox, holds a book with a joyful expression. He appears excited and curious, surrounded by colorful books on a shelf.","eddy exclaimed, ""what should i make today?"" with excitement and curiosity.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"**Pororo**  
Pororo looks to the ground, possibly feeling shy or uncertain.

**Scene Description**  
Loopy stands with hands on her sides, while Pororo lowers his head and places a hand on it.","pororo looks to the ground, possibly feeling shy or uncertain in the presence of loopy.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"A bomb box that Crong hid exploded in Pororo's face. 

Pororo, wearing goggles and a helmet, looks surprised, while Crong appears angry, with a furrowed brow.","a bomb box that crong hid exploded in pororo's face, surprising him while crong looked angry.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Poby asks Eddy, ""Why are you so jumpy?"" while moving his feet and stopping. 

Poby, a gray polar bear, appears curious and slightly concerned, standing on a snowy surface with icy blue backgrounds.","poby asks eddy, ""why are you so jumpy?"" while moving his feet and stopping on the snowy surface.","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"Eddy is lowering his ears while talking, and Loopy and Pororo are looking at him. Pororo is dirty, indicating a playful or messy situation in Loopy's house.","eddy confesses that he placed the box in loopy's house, while loopy and pororo watch, with pororo appearing dirty from play.","0.25,0.25,0.25",0.25
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Pororo says to Crong, ""Crong, I apologize, I made a mistake."" Pororo lowers his head, then looks up, while Crong closes his eyes, indicating understanding. 

In the scene, Pororo, a small blue penguin with glasses, stands on the left, looking apologetic. Crong, a green frog, is on the right, with a calm expression, eyes closed.","pororo says to crong, ""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","Eddy is smiling with his eyes closed, indicating happiness. He is seated at a table, suggesting he may be engaged in a conversation.","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","**Wow Eddy Cool**

Poby, a polar bear, is smiling and raising his hands, while Loopy, a pink beaver, stands behind him, also smiling. 

The audience, represented by Poby and Loopy, appears impressed and engaged, indicated by their clapping and cheerful expressions.","eddy's entrance impressed the audience, as indicated by poby and loopy's clapping and cheerful expressions, along with the enthusiastic ""wow eddy cool"" subtitle.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"**Crong**  
Crong misses his shot with the basketball, so Crong gets disappointed. Crong is in Poby's house.

Crong did not score after he shot the ball at the hoop. The basketball is visible in the air, not in the hoop.","crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"Yes, Pororo apologizes for knocking Poby's things down.

Pororo, wearing a brown helmet, looks up at Poby with a concerned expression in Poby's house. The setting features a cozy interior with a window and a picture on the wall.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"Eddy tells Poby, ""Poby, we are going to leave now."" 

Eddy, wearing a helmet, stands beside Poby in a messy indoor setting with a bed in the background.","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"Pororo almost forgets to leave the camera with Poby. 

Pororo, wearing a yellow hat, is walking away while Poby stands still, both inside a cozy room with a stone floor.",pororo almost forgets to leave the camera with poby as he walks away from the cozy room.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"**The dandelion is wilting.**  
**Scene Description:** The flower withered, which is placed in front of the window.

Pororo appears concerned, with a frown and drooping posture, indicating sadness upon seeing the wilted flower. The setting is indoors, with the flower in a pot near a window.","pororo felt sad and concerned after seeing the wilted flower, as indicated by his frown and drooping posture.","1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"**When and who will go to picnic:** Tomorrow, Loopy will go to the picnic.

**Visual Description:** Loopy, a pink character wearing a chef hat, is smiling while stirring a bowl in a cozy kitchen. The background features shelves with dishes and cooking items.","tomorrow, loopy will go to the picnic.","1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","**Crong**  
Crong appears surprised and scared, with wide eyes and an open mouth. He shakes his head while holding a lamp that is out.

Crong's startled expression and body language indicate fear, likely due to an unexpected encounter with Pororo. The dark, nighttime setting adds to the tension.","crong is scared of pororo due to an unexpected encounter in the dark, nighttime setting, which heightens his surprise and fear.","0.75,0.75,0.75",0.75
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,Loopy adds salt to her mixing bowl. She is holding a salt bottle and sprinkling salt into the bowl.,loopy adds salt to her mixing bowl.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Eddy thinks the ghost must have run away after seeing them. 

Eddy, a small orange fox, stands outdoors with a cheerful expression, surrounded by a dark, starry night and snowy landscape.","eddy thinks the ghost must have run away after seeing him, poby, and loopy in the windy, starry night.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"Pororo, Crong, Poby, and Eddy are sitting around a table inside, drinking juice. They appear cheerful, with colorful characters and a cozy indoor setting.","loopy's friends, pororo, crong, poby, and eddy, sit around a table inside, cheerfully drinking juice.","1.0,1.0,1.0",1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","**What was it that you did a minute ago?**

Pororo asked Loopy what she did a minute ago.

**Visual Description:**

Pororo, wearing a yellow helmet, stands facing Loopy, who touches her face. The snowy landscape is bright under a clear blue sky.","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"**Subtitles:** ""I could not sleep.""  
**Scene Description:** Poby scratches his head with his right paw and puts it down.

Poby, a polar bear, stands outside at night, looking slightly puzzled. He scratches his head, indicating confusion or concern while speaking to Loopy.","""poby tells loopy, 'i could not sleep,' while looking puzzled and scratching his head.""","0.75,0.75,0.75",0.75
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"Poby's friend decided to help him get some sleep. 

The character, a small, orange dog, stands in a snowy outdoor setting with a bright blue sky. He has a cheerful expression, eyes closed and arms outstretched.",poby's friend decided to help him get some sleep.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"Eddy is interrupted by Crong sliding down behind Pororo. 

Pororo stands with his left arm raised, while Crong is positioned behind him, creating a playful scene.",eddy is interrupted by crong sliding down behind pororo.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"Loopy proposed to the group about the flower while smiling and holding a vase with flowers. Eddy and Pororo are sitting on the ground, engaged in the conversation.",loopy proposed to the group to ask him anything about the flower while smiling and holding a vase.,"0.75,0.75,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"**What should I do?**

Pororo looks thoughtful, with a furrowed brow and a slight frown, indicating concern.

**Scene Description:**

Pororo, wearing a helmet and headphones, stands in a neutral background, showing a serious expression. Crong is nearby, also appearing sad.",pororo thought about how to cheer up crong and make things better for both of them.,"0.5,0.5,0.5",0.5
