row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"Pororo, what are you doing? Eddy asks Pororo about his urgent action. Eddy, Poby, and Loopy stand outside on the ice, looking curious. Eddy appears to be speaking, while Crong passes by them.","eddy asks pororo, ""what are you doing?"" regarding his urgent action.","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","Toy Crong Eddy's friends, Pororo and Crong, show interest in his new toy. Scene Description Pororo and Crong are excitedly looking at Eddy, who is presenting the toy.","eddy's friends, pororo and crong, were excited and showed interest in seeing his new toy.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","What should I make today? Eddy looks at the book and questions himself. Eddy holds the book with a big smile, appearing excited and curious.","eddy excitedly asked, ""what should i make today?"" while holding the book with a big smile.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"Pororo Pororo looks to the ground as he lowers his head, possibly feeling shy or uncertain. Scene Description Loopy stands with hands on her sides, while Pororo has his right hand on his head, indicating contemplation.","pororo looked to the ground while lowering his head, possibly feeling shy or uncertain in the moment.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"A bomb box that Crong hid exploded. Pororo, wearing goggles, looks surprised while Crong appears angry, sitting at a table indoors.","a bomb box that crong hid exploded in pororo's face, surprising him while crong looked angry.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Why are you so jumpy? Poby asks, ""Why are you so jumpy?"" Scene Description Poby moves his feet and stops, looking curious.","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"Eddy confesses, ""To be honest with you, I placed the box there."" He appears slightly embarrassed, with lowered ears.","eddy confesses that he placed the box there, appearing slightly embarrassed with lowered ears.","1.0,1.0,1.0",1.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Crong, I apologize, I made a mistake. Pororo lowers his head, then looks up at Crong, who closes his eyes and gazes back.","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","I am going to go now Eddy smiles and appears eager, indicating he is ready to leave. Eddy does not stay longer after agreeing to sing.",eddy does not stay longer after agreeing to sing and appears eager to leave.,"1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Wow Eddy Cool Eddy's entrance impressed the audience. Scene Description Poby is smiling and raising his hands, while Loopy and Pororo are clapping enthusiastically.","eddy's entrance impressed the audience, as evidenced by poby's smile and the enthusiastic clapping from loopy and pororo.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Crong Crong misses his shot with the basketball, so Crong gets disappointed. Crong is in Poby's house. Crong did not score after he shot the ball at the hoop. The basketball is seen bouncing away from the hoop.","crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"Yes, Pororo apologizes for knocking Poby's things down. Subtitle: ""Oh sorry Poby, I will clean it up."" Pororo is apologizing to Poby. Both are in Poby's house.","yes, pororo apologizes to poby for knocking his things down and offers to clean it up.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"Eddy says to Poby, ""Poby, we are going to leave now."" Eddy stands with a serious expression, while Poby looks surprised.","eddy tells poby, ""poby, we are going to leave now,"" with a serious expression while poby looks surprised.","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"And this: Pororo almost forgets to leave the camera with Poby. Pororo placed the camera on the floor and left, while Poby has been standing still. They are in Poby's place.",pororo almost forgets to leave the camera with poby before he leaves poby's place.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"The dandelion is wilting Pororo felt sad after seeing the wilted flower. Scene Description The flower withered, which is placed in front of the window.",pororo felt sad after seeing the wilted flower.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,We are going on a picnic tomorrow. Loopy is smiling and cooking in a kitchen to prepare for the picnic.,loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong Crong looks surprised and scared, with wide eyes and an open mouth. Scene Description Crong shakes his head while holding a lamp in his left hand, which is out.","crong is scared of pororo because he is surprised and shaken, holding a lamp that has gone out in a dark environment.","0.5,0.5,0.5",0.5
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,Loopy adds salt to her mixing bowl. She is holding a salt bottle and sprinkles it into the bowl.,loopy adds salt to her mixing bowl.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","He must have run away after he saw us. Eddy, a small orange fox, smiles confidently in a snowy outdoor setting, suggesting the ghost fled upon seeing them.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"Crong Loopy's friends are sitting around a table, drinking juice and enjoying snacks indoors. Scene Description Pororo, Crong, Poby, and Eddy are gathered at a table, smiling and interacting in a cozy indoor setting.","loopy's friends, pororo, crong, poby, and eddy, sit around a table indoors, drinking juice and enjoying snacks together.","1.0,1.0,1.0",1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","What was it that you did a minute ago? Pororo asks Loopy, ""What did you do a minute ago?"" The sky is blue and clear. The land is covered with snow. Loopy and Pororo stand face to face. Loopy touches her face with her hand. From far away, looking at Loopy, Pororo asked what Loopy did a minute ago.","pororo asked loopy, ""what did you do a minute ago?""","1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"i could not sleep Poby says, ""I could not sleep,"" while scratching his head with his right paw. Scene Description Poby stands outside in a snowy environment, looking slightly puzzled.","loopy, i could not sleep.","0.5,0.5,0.5",0.5
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"We have to help Poby get some sleep. Eddy is animatedly talking with his arms swinging, suggesting he is enthusiastic about helping Poby.",eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,Crong interrupts Eddy as he was saying hello to Loopy. Pororo stands up and raises his left arm. Crong is sliding down behind Pororo.,crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"So go ahead, ask me anything. Loopy proposed to create a flower garden for everyone to enjoy. Loopy is smiling while holding a vase with flowers. Eddy and Pororo are sitting on the ground nearby.",loopy proposed to create a flower garden for everyone to enjoy.,"0.0,0.0,0.0",0.0
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"What should I do? Pororo looks concerned, with a furrowed brow and a slight frown. Scene Description Crong and Pororo have a sad face, indicating they are feeling down.",pororo thought he needed to find a way to cheer up crong and himself.,"0.5,0.5,0.5",0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","We are here to save you. Loopy, Poby, and Eddy look down from the hole, visibly excited and ready to help.","loopy, poby, and eddy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"Loopy says, ""Did you think you could play a trick on me?"" She is smiling, with her hands around her mouth and tongue sticking out.",loopy asked pororo and crong if they thought they could play a trick on her.,"0.75,0.75,0.75",0.75
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"Why are you hiding it as if it is some kind of treasure? Pororo thinks Eddy is hiding something important, possibly a treasure. Scene Description Pororo stands with a suspicious expression, questioning Eddy about the hidden map in a snowy outdoor setting.","pororo thinks eddy is hiding something important, possibly a treasure, by concealing the map.","0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,The doll is moving. Pororo sees a wind-up toy moving on the floor while sitting on the sofa with a book.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"Here Eddy Loopy hands a sandwich over to Eddy. Eddy picks up the sandwich with his robot arm. Loopy, a pink bear, smiles while offering a sandwich to Eddy, who is green and has a surprised expression.",loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","Loopy asks Eddy, ""Eddy, what happened?"" She appears concerned, looking at him with wide eyes.","loopy asks eddy, ""eddy, what happened?"" with a concerned expression.","1.0,1.0,1.0",1.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"Crong Crong Crong Crong is happily cleaning the floor, smiling and energetic. Scene Description Pororo is whispering to Loopy, both looking amused and curious about Crong's actions.",everyone felt amused and curious as they watched crong happily cleaning the floor with energy and enthusiasm.,"0.75,0.75,0.75",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"Pororo is desperately looking for Crong Pororo enters the house, searching for Crong. Scene Description Crong is playing with a colorful toy inside the igloo.",crong was playing with a colorful toy inside the igloo.,"0.25,0.25,0.25",0.25
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","Uh well: Pororo seems surprised and animated in response to Loopy and Crong. Scene description: Pororo moves his arms and turns around, standing in a snowy outdoor setting.","pororo responded with ""uh well,"" appearing surprised and animated while moving his arms in the snowy setting.","1.0,1.0,1.0",1.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"Eddy says, ""I'm sorry to Pororo for doubting you."" Eddy stands close to Pororo, both looking at each other.",eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"The friends are talking about something secretly Eddy, Loopy, and Poby are gathered together, secretly discussing something. Eddy is explaining, while Loopy claps and Poby nods.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"Bye Pororo Loopy, Poby, Crong, and Eddy wave at Pororo and say goodbye to Pororo. The friends do not find Pororo behind the snowman. They are in a snowy outdoor setting, smiling and waving.",the friends do not find pororo behind the snowman and wave goodbye to him instead.,"0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"Come here Pororo says, ""come here,"" with a confident posture and a slight frown. Scene Description Pororo tells Crong to come over. Crong is trying to run away again, looking hesitant and playful.","when pororo says ""come here,"" crong hesitates and tries to run away playfully.","0.75,0.75,0.75",0.75
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","Of course Poby says, ""Sure!"" with a cheerful expression. Scene Description Poby abandons his fishing rod and goes to his friends to play.","poby cheerfully responds, ""sure!"" when invited to play.","0.75,0.75,0.75",0.75
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,0.8
