row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"Eddy, a small orange fox, is smiling and standing next to Poby, a white bear, in a snowy outdoor setting. Eddy appears to be asking Pororo about his urgent action, indicating curiosity.",eddy asks pororo about the reason for his urgent action.,"0.25,0.25,0.25",0.25
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","Eddy is excitedly showing his new toy to his friends, who appear curious and engaged. Crong and Pororo are looking at Eddy with interest, indicating their enthusiasm for the toy.","yes, eddy's friends were interested in seeing his new toy, as indicated by their curiosity and engagement.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy, a small orange fox, holds a book with a joyful expression. He appears excited and is likely contemplating what to create next.","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"Pororo looks to the ground with a lowered head, possibly indicating focus or contemplation. Loopy stands beside him, hands on her sides, in a snowy outdoor setting.","pororo looks to the ground with a lowered head, indicating focus or contemplation about the situation with loopy and the snowman.","0.5,0.5,0.5",0.5
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"Pororo has a surprised expression with a messy face, indicating something explosive happened. Crong looks angry, suggesting tension between them.","a bomb box that crong hid exploded in pororo's face, making him look messy and surprised.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Poby, a small gray bear, appears curious and slightly concerned as he stops moving his feet. He likely asks Eddy about the box, showing interest in what is happening.","poby asks eddy, ""what is that box?"" showing his curiosity about the situation.","0.0,0.0,0.0",0.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"Loopy, a small orange fox, is smiling with closed eyes, indicating a cheerful demeanor. The indoor setting features a cozy environment with wooden elements and kitchen items visible in the background.","eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused.","0.75,0.75,0.75",0.75
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Pororo looks surprised and slightly upset, lowering his head before looking up at Crong. Crong closes his eyes, appearing innocent as Pororo expresses frustration about the trick.","pororo, realizing it was eddy and not crong, likely expressed frustration by saying, ""i thought you were the troublemaker again, crong!""","0.75,0.75,0.75",0.75
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","Eddy is smiling with his eyes closed, indicating happiness. He is seated at a table, suggesting he is engaged in conversation.","eddy did not stay longer after agreeing to sing, as he mentioned he had to do something at home and left.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Eddy is positioned in the foreground with a confident posture, while Poby and Loopy are clapping and smiling in the background. The expressions of excitement on Poby and Loopy's faces suggest that Eddy's entrance impressed the audience.","eddy's entrance impressed the audience, as evidenced by poby and loopy's excited clapping and smiling expressions.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Crong is inside Poby's house, and the basketball is visible near the hoop but not inside it. Crong appears disappointed, indicating he did not score after shooting the ball.","crong did not score after he shot the ball at the hoop, as he appeared disappointed.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"Pororo, wearing a brown hat, is looking up at Poby with a concerned expression. Poby appears calm, indicating he is accepting Pororo's apology in their cozy indoor setting.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"Eddy and Loopy are in Poby's room, with a bed visible behind them. Eddy tells Poby, ""we are going to leave now,"" while Poby appears calm.","eddy tells poby, ""we are going to leave now,"" as they prepare to depart from poby's place.","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"Pororo almost forgets to leave Poby's precious camera, which is placed on the floor. Poby stands nearby, looking concerned.","pororo almost forgets to leave poby's precious camera, which is placed on the floor while they prepare to leave.","0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"Pororo appears visibly distressed, with a frown and wide eyes, as he looks at the wilted flower. The flower, brown and drooping, is placed in a pot by the window, indicating an indoor setting.",pororo felt distressed and saddened upon seeing that the flower had wilted.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"Loopy, wearing a chef hat, is smiling while mixing ingredients in a bowl, preparing for tomorrow's picnic. The setting is indoors, with kitchen items visible in the background.","loopy will go on a picnic tomorrow, as she is currently cooking to prepare for it.","1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong has a surprised expression with an open mouth and is shaking his head, holding a lamp in his left hand. The dark, nighttime setting adds to his fear, as he mistakes Pororo for a ghost.","crong is scared of pororo because he mistakes him for a ghost in the dark, leading to his surprised reaction and fear.","0.75,0.75,0.75",0.75
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,Loopy is adding salt to her mixing bowl while holding a salt bottle. She is focused on her cooking task.,loopy adds salt to her mixing bowl while cooking.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Eddy, a small orange fox, appears cheerful with a wide smile, suggesting he thinks the ghost ran away. The dark, starry night setting adds to the spooky atmosphere, but Eddy's expression indicates relief.","eddy thinks the ghost ran away after it saw him, poby, and loopy in the dark and windy night.","1.0,1.0,1.0",1.0
