row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,visual_description,visual_language_answer,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"eddy asks pororo, ""what are you doing?""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'happy expression'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white fur', 'neutral expression'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'asks', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}], 'uncertain': [{'description': ""Crong's position"", 'location': ['background', 'unclear']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy with an orange fur and a happy expression.', 'center': 'Empty or unclear area.', 'right': 'Poby with white fur and a neutral expression.', 'foreground': 'Eddy and Poby are visible.', 'background': 'Ice and snow landscape, unclear details.'}}","eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.",eddy's friends were clearly interested in seeing his new toy as they ran toward the car.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['blue jacket', 'round body'], 'location': ['center', 'center']}, {'name': 'Crong', 'attributes': ['green color', 'small dinosaur'], 'location': ['left', 'left']}, {'name': 'Eddy', 'attributes': ['orange color', 'pointy ears'], 'location': ['right', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Crong', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Eddy', 'action': 'show', 'object': 'new toy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Crong'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Pororo'}], 'uncertain': [{'description': 'details of the new toy', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is standing on the left, looking at Eddy.', 'center': 'Pororo is in the center, facing Eddy.', 'right': 'Eddy is on the right, possibly showing a new toy.', 'foreground': 'The area is occupied by the characters, but the toy details are unclear.', 'background': 'Bookshelves and a window are visible in the background.'}}","yes, eddy's friends pororo and crong were interested in seeing his new toy as they looked at and ran toward it.","yes, eddy's friends pororo and crong were interested in seeing his new toy as they looked at and ran toward it.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'happy expression'], 'location': ['foreground', 'center']}, {'name': 'book', 'attributes': ['small', 'closed'], 'location': ['foreground', 'center']}, {'name': 'bookshelf', 'attributes': ['wooden', 'filled with colorful books'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'holds', 'object': 'book'}], 'relationships': [{'subject': 'Eddy', 'relation': 'in front of', 'object': 'bookshelf'}], 'uncertain': [{'description': ""details of the book's cover"", 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is happily holding a book.', 'right': 'The right region is empty.', 'foreground': 'Eddy and the book are clearly visible.', 'background': 'A bookshelf filled with colorful books is present.'}}","eddy said, ""what should i make today?"" after getting the book.","eddy said, ""what should i make today?"" after getting the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in the moment.","{'description': ""Loopy puts her hands on her sides. Pororo puts Pororo's right hand on Pororo's head and lowers Pororo's head.""}","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in response to loopy's stance.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in response to loopy's stance.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,{'description': 'Pororo talks to Crong but Crong looks angry.'},a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'gray'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Poby', 'action': 'moves', 'object': 'feet'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Poby is moving his feet.', 'right': 'The right region is empty.', 'foreground': 'Poby is in the foreground.', 'background': 'The background features icy blue elements.'}}","poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses to loopy and pororo that he placed the box there.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['lowered ears'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': [], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['covered with dirt'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'talking', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'looking at', 'object': 'Loopy'}, {'subject': 'Eddy', 'relation': 'looking at', 'object': 'Pororo'}, {'subject': 'Loopy', 'relation': 'looking at', 'object': 'Pororo'}], 'uncertain': [{'description': 'details about the box', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy is present, looking towards Pororo.', 'center': 'Eddy is talking with lowered ears.', 'right': 'Pororo is covered with dirt, looking at the same place as Loopy.', 'foreground': 'Eddy, Loopy, and Pororo are all in the foreground.', 'background': ""The background is unclear, possibly showing elements of Loopy's house.""}}","eddy confesses that he placed the box in loopy's house, revealing his honesty amidst the situation with pororo.","eddy confesses that he placed the box in loopy's house, revealing his honesty amidst the situation with pororo.","0.25,0.25,0.25",0.25
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing goggles', 'blue and white body'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink body', 'smiling'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green body', 'eyes closed'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'looks up', 'object': None}, {'subject': 'Crong', 'action': 'looks at', 'object': 'Pororo'}], 'relationships': [{'subject': 'Pororo', 'relation': 'to the left of', 'object': 'Loopy'}, {'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Crong'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Pororo is on the left, wearing goggles and looking up.', 'center': 'Loopy is in the center, smiling.', 'right': 'Crong is on the right, with eyes closed.', 'foreground': 'All three characters are in the foreground, interacting.', 'background': 'The background is unclear, possibly showing a room.'}}","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated, ""i am going to go now.""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'sitting'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'sits', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and sitting at a table.', 'right': 'The right region is empty.', 'foreground': 'Eddy is the only character visible in the foreground.', 'background': 'The background contains indistinct objects and decorations.'}}","eddy did not stay longer after agreeing to sing, as he stated, ""i am going to go now.""","eddy did not stay longer after agreeing to sing, as he stated, ""i am going to go now.""","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement with ""wow eddy cool.""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'raising hands'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink beaver', 'smiling'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'gathers', 'object': 'hands'}, {'subject': 'Poby', 'action': 'claps', 'object': None}, {'subject': 'Loopy', 'action': 'claps', 'object': None}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Poby, the polar bear, is raising his hands and smiling.', 'center': 'The area is empty or unclear.', 'right': 'Loopy, the pink beaver, is smiling and clapping.', 'foreground': 'Poby and Loopy are both visible and engaged in clapping.', 'background': 'The interior of a cozy room is visible with wooden walls.'}}","eddy's entrance impressed the audience, as evidenced by poby and loopy clapping and expressing excitement with ""wow eddy cool.""","eddy's entrance impressed the audience, as evidenced by poby and loopy clapping and expressing excitement with ""wow eddy cool.""","1.0,1.0,1.0",1.0
