row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"In the image, Eddy, an orange fox with large ears, is positioned on the left, smiling and looking towards Pororo. Next to him is Poby, a white bear, who is also facing the same direction. The scene is set outdoors on ice, with a clear blue sky in the background. Eddy appears to be asking Pororo a question, as indicated by the subtitle ""Pororo, what are you doing?""","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","In the image, three characters are present: Pororo, a small blue penguin; Crong, a green dinosaur; and Eddy, an orange fox. Pororo and Crong are looking at Eddy, who is facing them. The scene appears to be indoors, with a bookshelf in the background. The characters' body postures suggest they are engaged and attentive, indicating interest in what Eddy has to show.","yes, eddy's friends pororo and crong showed interest in seeing his new toy by running toward it.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy, a small orange fox character, is holding a book in his paws. He has a cheerful expression, with his eyes wide and a smile on his face. The setting is indoors, with a bookshelf filled with colorful books in the background. Eddy appears to be contemplating what to do next with the book.","eddy said, ""what should i make today?""","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"Pororo, a blue penguin wearing a yellow helmet and orange glasses, is looking down at the ground. He has his right hand on his head and his head lowered. Loopy, a pink character, stands next to him with her hands on her sides. The scene is set in a snowy outdoor environment with trees in the background.","pororo looked to the ground while feeling contemplative, with his hand on his head and head lowered beside loopy.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"In the image, Pororo, a small blue penguin wearing goggles and a yellow helmet, is positioned on the left side, facing Crong. Crong, a green dinosaur with a frown, is on the right side, looking directly at Pororo. The scene appears to be indoors, likely in a room with wooden furniture. There is no visible bomb box or explosion in the image itself.",a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Poby, a small gray bear, is positioned on a snowy surface with ice formations in the background. He appears to be moving his feet and has come to a stop. The scene suggests an outdoor environment, likely in a cold, icy setting. The subtitle indicates that Poby is questioning Eddy's behavior, asking, ""why are you so jumpy.""","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"In the scene, Eddy, an orange character with large ears, is speaking and has lowered his ears slightly. Loopy, a pink character, and Pororo, a blue character covered in dirt, are both looking in the same direction. The setting appears to be indoors, likely in Loopy's house. There is a box mentioned in the context, but its specific position is not visually described.",eddy confesses that he placed the box in loopy's house.,"0.0,0.0,0.0",0.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"In the image, Pororo, a small blue penguin with large round glasses and a pilot hat, is positioned on the left. He has lowered his head and is looking up at Crong, a green dinosaur-like character, who is on the right and has his eyes closed. Loopy, a pink beaver, is in the background, observing the interaction. The setting appears to be indoors, likely in a cozy room.","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","Eddy, a small orange character with large ears and a smiling face, is seated at a table. He is turning his head to the left and is in the process of standing up. The setting appears to be indoors, with a simple background that includes some framed pictures. There are no other visible characters or notable objects in the immediate scene.","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","In the image, a polar bear, Poby, is positioned in the foreground with its arms raised, appearing to engage with the audience. Behind Poby, a smaller character, Loopy, is visible, smiling and standing near a door. The setting appears to be indoors, likely in a cozy, wooden environment. The characters are actively clapping their hands, indicating a positive response to an event.","eddy's entrance impressed the audience, as indicated by poby and loopy clapping and expressing excitement.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Crong is not visible in the image. A basketball is shown near the hoop, but it is not in the net. The scene is indoors, with a window and a picture on the wall in the background. Based on the visual content, Crong did not score after shooting the ball at the hoop.",crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"Pororo, a small penguin wearing a brown helmet, is looking up at Poby, a white bear. Pororo's body posture suggests he is attentive and possibly apologetic. Poby is standing nearby, and the setting is indoors, likely in Poby's house, as indicated by the walls and window in the background. The scene conveys an interaction between the two characters, with Pororo appearing to address Poby directly.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
