row_num,qid,video_name,gif_num,question,correct_answer,visual_description,visual_language_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'happy expression'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white fur', 'neutral expression'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'asks', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}], 'uncertain': [{'description': ""Crong's position"", 'location': ['background', 'unclear']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy with an orange fur and a happy expression.', 'center': 'Empty or unclear.', 'right': 'Poby with white fur and a neutral expression.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'Ice and snow with unclear details.'}}","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['blue jacket', 'round body'], 'location': ['center', 'center']}, {'name': 'Crong', 'attributes': ['green color', 'small dinosaur'], 'location': ['left', 'left']}, {'name': 'Eddy', 'attributes': ['orange color', 'pointy ears'], 'location': ['right', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Crong', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Eddy', 'action': 'show', 'object': 'new toy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Crong'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Pororo'}], 'uncertain': [{'description': 'details of the new toy', 'location': ['foreground', 'center']}]}, 'Task 2': {'left': 'Crong is standing on the left, looking at Eddy.', 'center': 'Pororo is in the center, facing Eddy.', 'right': 'Eddy is on the right, possibly showing a new toy.', 'foreground': 'The area in front of the characters is unclear.', 'background': 'Bookshelves are visible in the background.'}}","yes, eddy's friends pororo and crong were interested in seeing his new toy as they looked at and ran toward it.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'smiling', 'holding a book'], 'location': ['foreground', 'center']}, {'name': 'bookshelf', 'attributes': ['wooden', 'filled with colorful books'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'holds', 'object': 'book'}], 'relationships': [{'subject': 'Eddy', 'relation': 'in front of', 'object': 'bookshelf'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and holding a book.', 'right': 'The right region is empty.', 'foreground': 'Eddy is prominently displayed in the foreground.', 'background': 'A bookshelf filled with colorful books is in the background.'}}","eddy said, ""what should i make today?"" after getting the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'small', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['blue', 'small', 'wearing goggles and a helmet'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'looks', 'object': 'ground'}, {'subject': 'Loopy', 'action': 'stands', 'object': 'none'}], 'relationships': [{'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Pororo'}], 'uncertain': [{'description': ""Pororo's exact expression or reason for looking down"", 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy stands on the left, looking at Pororo.', 'center': 'Pororo is in the center, looking down at the ground.', 'right': 'The right region is empty.', 'foreground': 'Loopy and Pororo are in the foreground.', 'background': 'Snowy landscape with trees under a blue sky.'}}","pororo looked to the ground while lowering his head, possibly in response to loopy's presence or conversation.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,Visual Description: Pororo talks to Crong but Crong looks angry.,a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,Visual Description: Poby moves Poby's feet and stops.,"poby asks, ""why are you so jumpy?"" when he sees eddy.","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['lowered ears'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': [], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['covered with dirt'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'talking', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'looking at', 'object': 'Loopy'}, {'subject': 'Loopy', 'relation': 'looking at', 'object': 'Pororo'}], 'uncertain': [{'description': 'unclear object or detail', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy is present, looking towards Pororo.', 'center': 'Eddy is talking with lowered ears.', 'right': 'Pororo is covered with dirt, looking at the same place as Loopy.', 'foreground': 'Eddy, Loopy, and Pororo are all in the foreground.', 'background': 'The background is unclear with no specific details visible.'}}","eddy confesses, ""to be honest with you, i placed the box there,"" while loopy and pororo listen.","1.0,1.0,1.0",1.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue and white body'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'smiling'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green color', 'eyes closed'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'looks up', 'object': None}, {'subject': 'Crong', 'action': 'looks at', 'object': 'Pororo'}], 'relationships': [{'subject': 'Pororo', 'relation': 'to the left of', 'object': 'Crong'}, {'subject': 'Loopy', 'relation': 'between', 'object': 'Pororo and Crong'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Pororo is on the left, wearing a helmet and looking up.', 'center': 'Loopy is in the center, smiling.', 'right': 'Crong is on the right, looking at Pororo with eyes closed.', 'foreground': 'All characters are in the foreground, interacting.', 'background': 'The background is unclear, possibly showing a room.'}}","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'sitting'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'stands up', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and sitting at a table.', 'right': 'The right region is empty.', 'foreground': 'Eddy is in the foreground, actively engaging.', 'background': 'The background contains indistinct objects.'}}","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'raising hands'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink beaver', 'smiling'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'gathers', 'object': 'hands'}, {'subject': 'Poby', 'action': 'claps', 'object': 'hands'}, {'subject': 'Loopy', 'action': 'claps', 'object': 'hands'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Poby, a polar bear, is raising his hands and smiling.', 'center': 'The area is empty or unclear.', 'right': 'Loopy, a pink beaver, is smiling and clapping.', 'foreground': 'Poby and Loopy are both visible and engaged in clapping.', 'background': 'The interior of a wooden house is visible with windows.'}}","yes, eddy's entrance impressed the audience, as indicated by poby and loopy clapping and expressing excitement.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Visual Description: Crong misses his shot with the basketball, so Crong gets disappointed. Crong is in Poby's house.",crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['polar bear', 'white color'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'apologizing', 'object': 'Poby'}], 'relationships': [{'subject': 'Pororo', 'relation': 'looking at', 'object': 'Poby'}], 'uncertain': [{'description': 'details of the background or other objects', 'location': ['background', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, a polar bear, is present in the left region.', 'center': 'Pororo, a penguin, is in the center, looking at Poby.', 'right': 'The right region is unclear or empty.', 'foreground': 'Pororo and Poby are both in the foreground.', 'background': 'The background contains a window and some unclear details.'}}","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['wearing a helmet', 'blue and orange color'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white bear', 'standing'], 'location': ['foreground', 'center']}, {'name': 'suitcase', 'attributes': ['black', 'open'], 'location': ['foreground', 'right']}, {'name': 'bed', 'attributes': ['not visible in detail'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'telling', 'object': 'Poby'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}, {'subject': 'Poby', 'relation': 'in front of', 'object': 'suitcase'}], 'uncertain': [{'description': 'details of the bed', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy is standing with a helmet on.', 'center': 'Poby is standing next to Eddy.', 'right': 'An open black suitcase is on the ground.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'A bed is present but not clearly visible.'}}","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue outfit'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['white bear', 'standing still'], 'location': ['foreground', 'left']}, {'name': 'camera', 'attributes': ['on the floor'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'left', 'object': 'camera'}], 'relationships': [{'subject': 'Pororo', 'relation': 'is next to', 'object': 'Poby'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby, the white bear, is standing still.', 'center': 'Pororo is walking away, leaving a camera on the floor.', 'right': 'The right region is empty.', 'foreground': 'Pororo and Poby are in the foreground with the camera on the floor.', 'background': 'The background contains unclear details, possibly furniture or decorations.'}}",pororo almost forgets to leave with the camera.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'dandelion', 'attributes': ['wilted', 'yellowish'], 'location': ['foreground', 'center']}, {'name': 'flower pot', 'attributes': ['white', 'ceramic'], 'location': ['foreground', 'center']}, {'name': 'window', 'attributes': ['wooden', 'transparent'], 'location': ['background', 'center']}], 'actions': [], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'A wilted dandelion in a white pot is visible.', 'right': 'The right region is empty.', 'foreground': 'The dandelion and its pot are in the foreground.', 'background': 'A wooden window with a blue sky is in the background.'}}",pororo felt sad after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a chef hat'], 'location': ['foreground', 'center']}, {'name': 'bowl', 'attributes': ['being stirred'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'cooking', 'object': 'bowl'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region contains shelves with kitchen items, but details are unclear.', 'center': 'Loopy is smiling and cooking in the center.', 'right': 'The right region is empty or unclear.', 'foreground': 'Loopy and the bowl are in the foreground.', 'background': 'The background shows a kitchen setting with shelves.'}}",loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0
