row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'happy expression'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white fur', 'neutral expression'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'asks', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}], 'uncertain': [{'description': ""Crong's position"", 'location': ['background', 'unclear']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy with an orange fur and a happy expression.', 'center': 'Empty space with unclear details.', 'right': 'Poby with white fur and a neutral expression.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'Unclear details, possibly Crong is present.'}}","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","{'Task 1': {'objects': [{'name': 'Crong', 'attributes': ['green', 'small', 'happy'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['blue', 'small', 'excited'], 'location': ['foreground', 'center']}, {'name': 'Eddy', 'attributes': ['orange', 'small', 'curious'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Crong', 'action': 'look at', 'object': 'Pororo'}, {'subject': 'Pororo', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Eddy', 'action': 'show', 'object': 'toy'}], 'relationships': [{'subject': 'Crong', 'relation': 'next to', 'object': 'Pororo'}, {'subject': 'Pororo', 'relation': 'next to', 'object': 'Eddy'}], 'uncertain': []}, 'Task 2': {'left': 'Crong is standing and looking at Pororo.', 'center': 'Pororo is facing Eddy with an excited expression.', 'right': 'Eddy is showing a toy to Pororo and Crong.', 'foreground': 'All three characters are in the foreground, interacting.', 'background': 'Bookshelves are visible in the background, but details are unclear.'}}","yes, eddy's friends pororo and crong were interested in seeing his new toy as they ran toward it excitedly.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'smiling', 'holding a book'], 'location': ['foreground', 'center']}, {'name': 'bookshelf', 'attributes': ['wooden', 'filled with colorful books'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'holds', 'object': 'book'}], 'relationships': [{'subject': 'Eddy', 'relation': 'in front of', 'object': 'bookshelf'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and holding a book.', 'right': 'The right region is empty.', 'foreground': 'Eddy is prominently displayed in the foreground.', 'background': 'A bookshelf filled with colorful books is in the background.'}}","eddy said, ""what should i make today?"" after getting the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'small', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['blue', 'small', 'wearing goggles and a hat'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'lowers', 'object': 'head'}], 'relationships': [{'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Pororo'}], 'uncertain': [{'description': 'details about the background scenery', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy is standing on the left side, looking at Pororo.', 'center': 'Pororo is in the center, lowering his head.', 'right': 'The right region is empty.', 'foreground': 'Loopy and Pororo are both in the foreground.', 'background': 'The background features snowy trees and a blue sky.'}}","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in response to loopy's presence.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,{'description': 'Pororo talks to Crong but Crong looks angry.'},a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"{'description': ""Poby moves Poby's feet and stops.""}","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['lowered ears'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': [], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['covered with dirt'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'talking', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'looking at', 'object': 'Loopy'}, {'subject': 'Loopy', 'relation': 'looking at', 'object': 'Pororo'}, {'subject': 'Pororo', 'relation': 'looking at', 'object': 'Eddy'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy is present, looking at Pororo.', 'center': 'Eddy is talking with lowered ears.', 'right': 'Pororo is covered with dirt, looking at Eddy.', 'foreground': 'Eddy, Loopy, and Pororo are all in the foreground.', 'background': 'The background details are unclear.'}}","eddy confesses to loopy and pororo that he placed the box there, revealing his honesty despite the situation.","0.75,0.75,0.75",0.75
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing goggles', 'blue and white body'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'smiling'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green color', 'eyes closed'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'looks up', 'object': None}, {'subject': 'Crong', 'action': 'looks at', 'object': 'Pororo'}], 'relationships': [{'subject': 'Pororo', 'relation': 'to the left of', 'object': 'Loopy'}, {'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Crong'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Pororo is visible, wearing goggles and looking up.', 'center': 'Loopy is present, smiling.', 'right': 'Crong is looking at Pororo with eyes closed.', 'foreground': 'Pororo, Loopy, and Crong are all in the foreground.', 'background': 'The background contains unclear details.'}}","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'sitting'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'stands up', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and sitting at a table.', 'right': 'The right region is empty.', 'foreground': 'Eddy is in the foreground, actively engaged.', 'background': 'The background contains indistinct objects.'}}","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'hands raised'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink beaver', 'smiling'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'talks', 'object': None}, {'subject': 'Poby', 'action': 'gathers', 'object': 'hands'}, {'subject': 'Poby', 'action': 'claps', 'object': None}, {'subject': 'Loopy', 'action': 'claps', 'object': None}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Poby, the polar bear, is in the left region with hands raised.', 'center': 'The center region is empty.', 'right': 'Loopy, the pink beaver, is smiling and clapping.', 'foreground': 'Poby and Loopy are both visible and engaged in clapping.', 'background': 'The background shows a wooden interior with windows.'}}","eddy's entrance impressed the audience, as evidenced by poby and loopy clapping and expressing excitement with ""wow eddy cool.""","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"{'description': ""Crong misses his shot with the basketball, so Crong gets disappointed. Crong is in Poby's house.""}",crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a hat'], 'location': ['center', 'left']}, {'name': 'Poby', 'attributes': ['polar bear', 'white'], 'location': ['center', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'apologizing', 'object': 'Poby'}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Poby'}], 'uncertain': []}, 'Task 2': {'left': 'Pororo is visible, looking at Poby.', 'center': 'Poby is present, facing Pororo.', 'right': 'No additional objects or characters.', 'foreground': 'Pororo and Poby are in the foreground.', 'background': ""The interior of Poby's house is visible.""}}","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['wearing a helmet', 'blue and orange color'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white bear', 'standing'], 'location': ['foreground', 'right']}, {'name': 'suitcase', 'attributes': ['black', 'open'], 'location': ['foreground', 'center']}, {'name': 'bed', 'attributes': ['not visible in detail'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'speaking', 'object': 'Poby'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}, {'subject': 'suitcase', 'relation': 'in front of', 'object': 'Eddy'}], 'uncertain': [{'description': 'details of the bed', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy is standing with a helmet on.', 'center': 'An open black suitcase is in front of Eddy.', 'right': 'Poby, the white bear, is standing.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'A bed is visible but not detailed.'}}","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"{'description': ""Pororo placed the camera on the floor and left, while Poby has been standing still. They are in Poby's place.""}",pororo almost forgets to leave with the camera.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'dandelion', 'attributes': ['wilted', 'yellowish'], 'location': ['foreground', 'center']}, {'name': 'pot', 'attributes': ['white', 'ceramic'], 'location': ['foreground', 'center']}, {'name': 'window', 'attributes': ['wooden', 'transparent'], 'location': ['background', 'center']}], 'actions': [], 'relationships': [{'subject': 'dandelion', 'relation': 'placed in', 'object': 'pot'}, {'subject': 'pot', 'relation': 'in front of', 'object': 'window'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'A wilted dandelion in a pot is visible.', 'right': 'The right region is empty.', 'foreground': 'The dandelion and pot are in the foreground.', 'background': 'A wooden window with a blue sky is in the background.'}}",pororo felt sad and concerned after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a chef hat'], 'location': ['foreground', 'center']}, {'name': 'bowl', 'attributes': ['being stirred'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'cooking', 'object': 'bowl'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region contains shelves with kitchen items, but details are unclear.', 'center': 'Loopy is smiling and cooking in the foreground.', 'right': 'The right region is empty or unclear.', 'foreground': 'Loopy is actively stirring a bowl.', 'background': 'The background features a kitchen setting with shelves.'}}",loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Crong', 'attributes': ['green', 'frog-like', 'holding a lamp'], 'location': ['foreground', 'center']}, {'name': 'lamp', 'attributes': ['small', 'out'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Crong', 'action': 'opens', 'object': 'mouth'}, {'subject': 'Crong', 'action': 'shakes', 'object': 'head'}], 'relationships': [{'subject': 'Crong', 'relation': 'holding', 'object': 'lamp'}], 'uncertain': [{'description': 'background details', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is holding a lamp with his left hand.', 'center': 'Crong appears surprised with his mouth open.', 'right': 'No visible content.', 'foreground': 'Crong is in the foreground, expressing surprise.', 'background': 'Dark night sky with unclear details.'}}","crong is scared of pororo because he is surprised and startled in the dark, holding a lamp that has gone out.","0.5,0.5,0.5",0.5
