row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"Eddy asks Pororo, ""What are you doing?"" while looking concerned as Crong passes by him, Poby, and Loopy on the ice.","eddy asks pororo, ""what are you doing?"" while looking concerned as crong passes by him, poby, and loopy on the ice.","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","Eddy's friends, Pororo and Crong, eagerly run toward the car, indicating their interest in seeing Eddy's new toy. Their excited actions suggest enthusiasm and curiosity.","eddy's friends, pororo and crong, were clearly interested in seeing his new toy as they eagerly ran toward the car.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy looks at the book and questions himself, saying, ""What should I make today?""","eddy said, ""what should i make today?""","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"Pororo looks to the ground as he lowers his head, possibly feeling shy or embarrassed while Loopy stands with her hands on her sides, observing him.","pororo looked to the ground while lowering his head, likely feeling shy or embarrassed as loopy observed him.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"A bomb box that Crong hid exploded, causing a surprise reaction. Pororo talks to Crong, who looks angry, indicating tension before the explosion.","a bomb box that crong hid exploded in pororo's face, causing a surprise reaction.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Poby moves his feet and stops, then asks Eddy, ""Why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"Eddy confesses, ""to be honest with you I placed the box there,"" while lowering his ears. Loopy and Pororo, covered in dirt, look at him attentively.","eddy confesses, ""to be honest with you i placed the box there,"" while loopy and pororo, covered in dirt, listen attentively.","1.0,1.0,1.0",1.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Pororo lowers his head, then looks up at Crong and says, ""Crong, I apologize, I made a mistake."" Crong closes his eyes, acknowledging Pororo's apology.","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","Eddy says, ""I am going to go now,"" then turns his head left and stands up, indicating he is leaving rather than staying longer to sing.","eddy did not stay longer after agreeing to sing, as he indicated he was leaving.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Poby gathers his hands and claps, while Loopy and Pororo join in, indicating excitement. The audience's reaction suggests that Eddy's entrance was indeed impressive.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Crong misses his shot with the basketball, as the ball is seen bouncing off the rim and not going into the hoop. Crong looks disappointed in Poby's house.","crong did not score after he shot the ball at the hoop, as he missed and looked disappointed.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"Pororo says, ""Oh sorry Poby, I will clean it up,"" indicating he is apologizing for knocking down Poby's things in Poby's house.","yes, pororo apologizes for knocking down poby's things by saying, ""oh sorry poby, i will clean it up.""","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"Eddy says, ""Poby, we are going to leave now."" Eddy and Loopy are preparing to exit Poby's place, which has a bed in the background.","eddy tells poby, ""we are going to leave now,"" as he and loopy prepare to exit poby's place.","1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,Pororo almost forgets to leave the camera with Poby. He placed it on the floor before leaving Poby's place.,pororo almost forgets to leave the camera with poby before exiting his place.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"Pororo felt sad after seeing the wilted dandelion, which was brown and drooping in the pot by the window. The flower's condition clearly affected his mood negatively.","pororo felt sad after seeing the wilted dandelion, as its brown and drooping condition negatively impacted his mood.","1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"Loopy is cooking to prepare for the picnic tomorrow, as stated, ""we are going on a picnic tomorrow.""",loopy will go on a picnic tomorrow.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong is scared of Pororo because he is surprised, shaking his head and opening his mouth in shock while holding a lamp that has gone out.","crong is scared of pororo because he is surprised, shaking his head and opening his mouth in shock while holding a lamp that has gone out.","0.25,0.25,0.25",0.25
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"Loopy adds ""a little salt"" to her mixing bowl by sprinkling it from a salt bottle while cooking.",loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Eddy thinks, ""he must have run away after he saw us,"" suggesting he believes the ghost fled upon encountering him, Poby, and Loopy in the windy scene.","eddy thinks the ghost must have run away after seeing him, poby, and loopy in the windy scene.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"Loopy's friends, Crong, Poby, and Eddy, sit around the table drinking juice and enjoying snacks together. They engage in friendly conversation while relaxing indoors.","loopy's friends, crong, poby, and eddy, sit around the table drinking juice and enjoying snacks while engaging in friendly conversation indoors.","1.0,1.0,1.0",1.0
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","Pororo asks Loopy, ""What was it that you did a minute ago?"" as they stand face to face in the snowy landscape. Loopy touches her face, indicating curiosity.","pororo asked loopy, ""what was it that you did a minute ago?"" while they stood face to face in the snowy landscape.","1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"Poby scratches his head with his right paw and puts it down. He could say to Loopy, ""I could not sleep.""","poby could say to loopy, ""i could not sleep.""","1.0,0.75,0.75",0.75
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"Eddy, swinging his arms, emphasizes, ""We have to help Poby get some sleep,"" indicating his decision to assist Poby in resting.",eddy decided to help poby get some sleep.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"Crong interrupts Eddy as he was saying hello to Loopy. Crong slides down behind Pororo, prompting Pororo to stand up and raise his left arm.",crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"Loopy smiles while holding a vase with flowers and proposes, ""Let's make a flower garden together!"" Eddy and Pororo sit on the ground, listening attentively.","loopy proposed, ""let's make a flower garden together!"" while smiling and holding a vase with flowers.","0.25,0.25,0.25",0.25
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"Pororo thinks, ""What should I do?"" while looking concerned, reflecting his sadness alongside Crong, who also has a sad expression.","pororo thought, ""i need to find a way to cheer crong up and make him smile again.""","0.5,0.5,0.5",0.5
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","Poby, Eddy, and Loopy look down from the hole and say, ""We are here to save you!"" to Pororo and Crong.","poby, eddy, and loopy told pororo and crong, ""we are here to save you!""","1.0,1.0,1.0",1.0
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"Loopy smiles and says, ""Did you think you could play a trick on me?"" while sticking out her tongue and holding her hands around her mouth.","loopy smiled and asked pororo and crong, ""did you think you could play a trick on me?"" while sticking out her tongue.","0.75,0.75,0.75",0.75
