row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"Eddy, an orange fox, is smiling and standing next to Poby, a white bear, in a snowy outdoor setting. Eddy asks Pororo, ""What are you doing?"" with a curious expression.","eddy asks pororo, ""what are you doing?"" with a curious expression while standing outside on the ice with poby.","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","Eddy's friends, Pororo and Crong, are looking at Eddy with interest, indicating their curiosity about his new toy. They are positioned close together, suggesting engagement and excitement in the scene.","yes, eddy's friends, pororo and crong, were interested in seeing his new toy, as indicated by their excited engagement.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy, an orange fox, holds a book with a joyful expression, smiling widely. He appears excited and curious, contemplating what to create.","eddy exclaimed, ""what should i make today?"" while holding the book with excitement.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"Pororo looks to the ground while lowering his head, possibly in response to Loopy's presence and actions. His body posture suggests a moment of contemplation or focus.","pororo looked to the ground while lowering his head, likely reflecting on loopy's presence and actions.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"A bomb box exploded in front of Pororo, who has a surprised expression. Crong, looking angry, is positioned to the right.","a bomb box that crong hid exploded in front of pororo, surprising him.","0.75,0.75,0.75",0.75
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Poby, a gray polar bear, appears slightly startled with wide eyes and a tense posture. He asks Eddy, ""Why are you so jumpy?"" while moving his feet and stopping.","poby asks eddy, ""why are you so jumpy?"" while appearing startled and moving his feet.","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"Eddy, an orange fox, is smiling with his eyes closed, suggesting a lighthearted confession. The setting is Loopy's house, indicated by the warm, cozy interior.","eddy confesses in loopy's house that he placed the box there, smiling lightheartedly.","0.75,1.0,0.75",0.75
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Pororo, with a concerned expression, lowers his head and then looks up at Crong. Crong, with closed eyes, appears to be listening attentively.","""crong, i apologize; i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","Eddy, a small orange dog with large ears, is smiling and sitting at a table. He appears engaged and happy, suggesting he may stay longer.","eddy appears happy and engaged, suggesting he may stay longer despite stating he is going to leave.","0.0,0.0,0.0",0.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Poby, a polar bear, is smiling and raising his hands, while Loopy, a small pink bear, stands behind him with a cheerful expression. The setting appears to be indoors, with a cozy wooden background, indicating a friendly atmosphere.","eddy's entrance impressed the audience, as indicated by poby and loopy's enthusiastic clapping and cheerful expressions.","1.0,1.0,1.0",1.0
