row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo what he is doing.,eddy asks pororo what he is doing.,0.75,0.75,0.75,INSUFFICIENT,"the visual description does not provide specific details relevant to the dialogue question about what eddy asks pororo. however, the scene description and subtitles indicate that eddy is indeed asking pororo what he is doing, which aligns with the pure language answer.",no visual evidence was used due to insufficient description.,False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy as they ran toward it.","yes, eddy's friends were interested in seeing his new toy as they ran toward it.",1.0,1.0,1.0,INSUFFICIENT,"the visual description indicates that pororo and crong are looking at the car and running toward it, which supports the claim that eddy's friends were interested in seeing the new toy.","the scene description confirms the action of the characters running toward the car, indicating their interest.",False
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy is looking at the book and questioning himself, which supports the dialogue provided in the pure language answer.","the visual shows eddy holding a book, which corresponds to the context of him asking what to make today.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.",0.75,0.75,0.75,INSUFFICIENT,"the visual description and scene description provide context for pororo's actions, indicating he is lowering his head, which aligns with the pure_language_answer. however, the emotional state (shy or contemplative) is not explicitly confirmed in the visual evidence.","the scene description mentions pororo lowering his head, which supports the action described in the pure_language_answer.",False
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,1.0,1.0,0.75,INSUFFICIENT,"the visual description does not provide enough context about the explosion or the bomb box mentioned in the question. however, the subtitles and scene description support the idea that crong is involved in an action that leads to the explosion.","the visual does not directly depict the explosion or the bomb box, but it shows the interaction between pororo and crong, which is relevant to the context.",False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description indicates a cartoon scene relevant to the dialogue, and the subtitles confirm the exact question asked by poby.","the cartoon image aligns with the context of the dialogue, supporting the interaction between poby and eddy.",False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses that he placed the box there.,eddy confesses that he placed the box there.,0.75,0.75,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy confesses about placing the box, supported by the subtitles.","the scene description indicates eddy is talking, which confirms the action of confessing.",False
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns well with the dialogue context, confirming pororo's apology to crong. the scene description and subtitles support the accuracy of the pure language answer.","the visual shows pororo lowering his head, which indicates a moment of apology, consistent with the dialogue.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.",1.0,1.0,1.0,INSUFFICIENT,"the visual description indicates that eddy is turning his head and standing up, which aligns with the dialogue stating he is going to leave, confirming he did not stay longer after agreeing to sing.",the action of eddy turning his head and standing up supports the conclusion that he is preparing to leave.,False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.",1.0,1.0,1.0,INSUFFICIENT,"the visual description supports the claim that eddy's entrance impressed the audience, as it depicts characters clapping and expressing excitement, which aligns with the pure language answer.","the scene shows poby, loopy, and pororo clapping their hands, indicating their approval and excitement about eddy's entrance.",False
