row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description does not provide specific details about the dialogue or actions relevant to the question. however, the pure language answer aligns with the subtitles, which confirms the dialogue.",no visual evidence was used as the visual description was insufficient.,False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy as they ran toward it.","yes, eddy's friends were interested in seeing his new toy as they ran toward it.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description indicates that pororo and crong are looking at the car and running toward it, which supports the idea that eddy's friends were interested in seeing the new toy.","the scene shows pororo and crong actively engaging with the car, demonstrating their interest.",False
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy is looking at the book and questioning himself, which supports the dialogue provided in the pure language answer. the subtitle confirms eddy's inquiry about what to make, matching the context perfectly.","the visual shows eddy holding a book and appearing inquisitive, which corresponds with the dialogue and scene description.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","0.75,0.75,0.75",0.75,0.75,INSUFFICIENT,"the visual description provides context about pororo's actions, which aligns with the pure_language_answer regarding his demeanor. however, the visual language answer is empty, which limits the overall assessment.","the scene description indicates pororo is lowering his head, which supports the idea of him feeling shy or contemplative.",False
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description does not provide enough context to confirm the specific object that exploded in pororo's face. however, the pure language answer aligns with the subtitles, which mention a bomb box.",no visual evidence was used due to insufficient description.,False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description is relevant as it indicates the context of the cartoon scene, which supports the dialogue in the pure language answer. the subtitle directly matches the dialogue attributed to poby.","the cartoon image depicts poby, which aligns with the dialogue context.",False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses that he placed the box there.,eddy confesses that he placed the box there.,"0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description provides context about eddy's actions and the scene, which aligns with the dialogue in the subtitles.","the scene description indicates eddy is talking and lowering his ears, which supports the action of confessing.",False
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns well with the dialogue context, confirming pororo's apology to crong. the scene description and subtitles support the accuracy of the pure language answer.","the visual shows pororo lowering his head and looking up, which corresponds to the apology context.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description does not provide enough context to confirm whether eddy stayed longer after agreeing to sing. however, the pure language answer states that he did not stay longer, which aligns with the subtitles indicating he is leaving.",no visual evidence was used due to insufficient description.,False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description supports the claim that eddy's entrance impressed the audience, as it depicts poby, loopy, and pororo clapping, which aligns with the excitement expressed in the pure language answer.","the scene shows poby gathering his hands and the characters clapping, indicating their approval and excitement.",False
