row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo what he is doing.,eddy asks pororo what he is doing.,0.75,0.75,0.75,INSUFFICIENT,"the visual description does not provide specific details relevant to the dialogue question about what eddy asks pororo. however, the scene description and subtitles support the pure language answer.",not applicable as the visual description was insufficient.,False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy.","yes, eddy's friends were interested in seeing his new toy.",1.0,1.0,0.75,INSUFFICIENT,"the visual description indicates that pororo and crong are interacting with a car, which supports the idea that eddy's friends are interested in the toy. however, the specific interest of eddy's friends is not explicitly confirmed in the visual evidence.","the scene description shows pororo and crong looking at the car, suggesting their interest in it.",False
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy is looking at the book and questioning himself, which supports the dialogue provided in the pure language answer. the subtitle confirms eddy's inquiry, matching the context perfectly.","the visual shows eddy holding a book, which corresponds to the action described in the scene and supports the dialogue.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.",0.75,0.75,0.75,INSUFFICIENT,"the visual description provides context about pororo's actions, which aligns with the pure_language_answer regarding his demeanor. however, the visual language answer is missing, which affects the overall confidence.","the scene description indicates pororo is lowering his head, which supports the idea of him feeling shy or contemplative.",False
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,1.0,1.0,0.75,INSUFFICIENT,"the visual description indicates a scene involving pororo and crong, which aligns with the context of the explosion mentioned in the pure language answer. however, the visual does not explicitly show the explosion or the bomb box, leading to slightly lower confidence.","the visual shows pororo and crong, supporting the context of their interaction and the potential for the explosion.",False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description indicates a cartoon scene relevant to the dialogue, and the subtitles confirm the exact question asked by poby.","the scene shows poby, which aligns with the dialogue context.",False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses that he placed the box there.,eddy confesses that he placed the box there.,0.75,0.75,1.0,INSUFFICIENT,"the visual description and scene description provide clear context for eddy's confession, aligning with the pure language answer. the dialogue in the subtitles directly supports the action described.","the scene description indicates eddy is talking, which confirms the action of confessing.",False
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns well with the dialogue context, confirming pororo's apology to crong. the subtitles directly support the pure_language_answer.","the scene shows pororo lowering his head and looking up, indicating a moment of apology, which matches the dialogue.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.",1.0,1.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information to determine whether eddy stayed longer after agreeing to sing. however, the pure language answer clearly states that eddy did not stay longer, which aligns with the subtitles indicating he is going to leave.",no visual evidence was used due to insufficient description.,False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where poby, loopy, and pororo are clapping, indicating that eddy's entrance impressed the audience.","the scene description confirms the characters' actions of clapping and expressing excitement, supporting the pure language answer.",False
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,1.0,1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that crong misses his shot, which directly supports the pure language answer stating he did not score.","the scene description confirms crong's action of missing the shot, aligning with the visual context.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.",1.0,1.0,1.0,INSUFFICIENT,"the visual description confirms that pororo is in a scene where he is apologizing to poby, which aligns with the question about whether he apologizes for knocking down poby's things. the subtitles also support this action.","the scene description and subtitles indicate that pororo is apologizing, which directly answers the question.",False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the dialogue in the subtitles and the scene description, confirming that eddy tells poby they are going to leave.","the scene shows eddy and poby, supporting the dialogue context.",False
