row_num,qid,video_name,gif_num,question,correct_answer,visual_description
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"First, Eddy stands outside on the ice with Poby and Loopy, looking toward Pororo. Then, Eddy raises his hand and asks, ""Pororo what are you doing."" Finally, Crong passes by Eddy, Poby, and Loopy, moving in the direction of Pororo."
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","First, Pororo stands in the center of the room facing Eddy and Loopy. Then, Crong, who is on Pororo's left, looks up at Pororo with a smile. Next, Eddy, who is on Pororo's right, turns his body slightly towards Pororo while looking at him. Finally, Pororo says ""toy crong"" while gesturing towards Crong and the toy, indicating excitement."
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","First, Eddy stands with a book held in both hands close to his chest. Then, he looks down at the book with a smile on his face. Finally, he raises the book slightly while saying, ""what should I make today."""
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"First, Loopy stands with her hands on her sides, facing Pororo. Then, Pororo raises his right hand and places it on his head while lowering his head. Finally, Pororo looks down at the ground."
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"First, Pororo is sitting at a table, looking directly at Crong with a neutral expression. Then, Crong, who is sitting across from Pororo, has an angry expression and narrows his eyes while looking at Pororo. Suddenly, a bomb box appears in front of Crong, and it explodes, causing a burst of smoke and debris to fly towards Pororo's face. Finally, Pororo's eyes widen in surprise as he is engulfed in the explosion."
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"First, Poby moves his feet while standing on the ice. Then, he stops and looks around. Finally, he says ""why are you so jumpy"" while maintaining his position."
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"First, Eddy stands in Loopy's house with a slight smile, lowering his ears a little. Then, he looks toward Loopy and Pororo, who are both facing him. Pororo is covered in dirt and looks at Eddy while Loopy also gazes in the same direction. Finally, Eddy says, ""to be honest with you I placed the box there"" while maintaining his smile and posture."
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"First, Pororo lowers his head and looks at the ground. Then, he raises his head and looks directly at Crong. Finally, Pororo says ""Crong, I apologize, I made a mistake"" while maintaining eye contact with Crong. Crong looks at Pororo and closes his eyes during this exchange. Loopy is present, observing the interaction."
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","First, Eddy sits at a table with a wide smile on his face. Then, he leans forward slightly, raising his hands in a gesture of excitement. Finally, he continues to smile while looking directly at the camera, indicating a cheerful demeanor."
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","First, Poby stands in the foreground with his hands raised, looking directly at the camera. Then, Loopy and Pororo appear in the background, both clapping their hands. Poby continues to hold his hands up while smiling. Finally, the characters maintain their positions, and the scene conveys a sense of excitement as they engage in clapping."
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"First, the basketball is seen approaching the hoop. Then, it hits the rim and bounces off. Finally, the ball rolls away from the hoop, indicating that Crong missed the shot."
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"First, Pororo looks up at Poby with his eyes closed and a slight smile. Then, he raises his right hand and gestures toward the ground. Finally, he says, ""oh sorry poby I will clean it up"" while maintaining eye contact with Poby."
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"First, Eddy stands next to Poby, who is facing him. Then, Eddy raises his hand and gestures while saying, ""Poby, we are going to leave now."" Meanwhile, Poby remains still, looking at Eddy. Finally, Loopy is positioned slightly behind Eddy, observing the interaction."
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"First, Pororo places a camera on the floor while facing Poby. Then, he turns around and begins to walk away from the camera. Poby remains standing still, facing Pororo. Finally, Pororo exits the scene, leaving the camera behind."
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"First, the dandelion flower is shown in a pot, visibly wilted with brown petals. Then, the camera focuses on the flower as it remains still in front of the window. Finally, the scene emphasizes the wilted state of the flower, highlighting its drooping posture."
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"First, Loopy stands at a table wearing a chef hat. Then, she smiles and stirs a bowl with a spoon. While stirring, Loopy looks directly at the camera. Finally, she continues to stir the bowl, indicating she is preparing food."
