row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'happy expression'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white fur', 'neutral expression'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'asks', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}], 'uncertain': [{'description': ""Crong's position"", 'location': ['background', 'unclear']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy with an orange fur and a happy expression.', 'center': 'Empty or unclear.', 'right': 'Poby with white fur and a neutral expression.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'Ice and snow with unclear details.'}}","eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides relevant details about the characters and their actions, confirming that eddy is asking pororo what he is doing. the dialogue in the subtitles aligns perfectly with the question.",the description of eddy asking pororo is supported by the visual context of the characters and their expressions.,False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['blue jacket', 'round body'], 'location': ['center', 'center']}, {'name': 'Crong', 'attributes': ['green color', 'small dinosaur'], 'location': ['left', 'left']}, {'name': 'Eddy', 'attributes': ['orange color', 'pointy ears'], 'location': ['right', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Crong', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Eddy', 'action': 'show', 'object': 'new toy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Crong'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Pororo'}], 'uncertain': [{'description': 'details of the new toy', 'location': ['foreground', 'center']}]}, 'Task 2': {'left': 'Crong is standing on the left, looking at Eddy.', 'center': 'Pororo is in the center, facing Eddy.', 'right': 'Eddy is on the right, possibly showing a new toy.', 'foreground': 'The area in front of the characters is unclear.', 'background': 'Bookshelves are visible in the background.'}}","yes, eddy's friends were interested in seeing his new toy.","yes, eddy's friends pororo and crong were interested in seeing his new toy as they looked at and ran toward it.","yes, eddy's friends pororo and crong were interested in seeing his new toy as they looked at and ran toward it.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear evidence that eddy's friends, pororo and crong, are looking at him and showing interest in his new toy, which aligns with the question.","the actions described in the visual description confirm that pororo and crong are looking at eddy, who is showing the new toy.",True
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'smiling', 'holding a book'], 'location': ['foreground', 'center']}, {'name': 'bookshelf', 'attributes': ['wooden', 'filled with colorful books'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'holds', 'object': 'book'}], 'relationships': [{'subject': 'Eddy', 'relation': 'in front of', 'object': 'bookshelf'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and holding a book.', 'right': 'The right region is empty.', 'foreground': 'Eddy is prominently displayed in the foreground.', 'background': 'A bookshelf filled with colorful books is in the background.'}}","eddy said, ""what should i make today?""","eddy said, ""what should i make today?"" after getting the book.","eddy said, ""what should i make today?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides clear context about eddy's actions and emotions, confirming that he is smiling and holding a book, which aligns with the dialogue.",the description of eddy smiling and holding a book directly supports the dialogue context.,False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'small', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['blue', 'small', 'wearing goggles and a helmet'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'looks', 'object': 'ground'}, {'subject': 'Loopy', 'action': 'stands', 'object': 'none'}], 'relationships': [{'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Pororo'}], 'uncertain': [{'description': ""Pororo's exact expression or reason for looking down"", 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy stands on the left, looking at Pororo.', 'center': 'Pororo is in the center, looking down at the ground.', 'right': 'The right region is empty.', 'foreground': 'Loopy and Pororo are in the foreground.', 'background': 'Snowy landscape with trees under a blue sky.'}}","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","pororo looked to the ground while lowering his head, possibly in response to loopy's presence or conversation.","pororo looked to the ground while lowering his head, possibly in response to loopy's presence or conversation.","0.75,0.75,0.75",0.75,0.75,SUFFICIENT,"the visual description provides relevant details about pororo looking down and his interaction with loopy, supporting the context of the question. however, the exact reason for pororo's action remains uncertain.","the description notes pororo's action of looking down and his position relative to loopy, which aligns with the question.",True
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,Visual Description: Pororo talks to Crong but Crong looks angry.,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description directly relates to the question by indicating an interaction between pororo and crong, which supports the context of the explosion.","the visual shows pororo talking to crong, who appears angry, which aligns with the context of the bomb box explosion.",False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,Visual Description: Poby moves Poby's feet and stops.,"poby asks eddy, ""why are you so jumpy?""","poby asks, ""why are you so jumpy?"" when he sees eddy.","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description confirms poby's action of moving and stopping, which aligns with the dialogue context. the dialogue in the subtitles matches the pure language answer, providing clear evidence for the question.",the action of poby moving and stopping supports the context of the dialogue.,False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['lowered ears'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': [], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['covered with dirt'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'talking', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'looking at', 'object': 'Loopy'}, {'subject': 'Loopy', 'relation': 'looking at', 'object': 'Pororo'}], 'uncertain': [{'description': 'unclear object or detail', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy is present, looking towards Pororo.', 'center': 'Eddy is talking with lowered ears.', 'right': 'Pororo is covered with dirt, looking at the same place as Loopy.', 'foreground': 'Eddy, Loopy, and Pororo are all in the foreground.', 'background': 'The background is unclear with no specific details visible.'}}",eddy confesses that he placed the box there.,"eddy confesses, ""to be honest with you, i placed the box there,"" while loopy and pororo listen.","eddy confesses, ""to be honest with you, i placed the box there,"" while loopy and pororo listen.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear context about eddy's action of confessing, which aligns with the dialogue in the subtitles and the pure language answer.",the description of eddy talking with lowered ears and the presence of loopy and pororo supports the context of the confession.,True
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue and white body'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink color', 'smiling'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green color', 'eyes closed'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'looks up', 'object': None}, {'subject': 'Crong', 'action': 'looks at', 'object': 'Pororo'}], 'relationships': [{'subject': 'Pororo', 'relation': 'to the left of', 'object': 'Crong'}, {'subject': 'Loopy', 'relation': 'between', 'object': 'Pororo and Crong'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Pororo is on the left, wearing a helmet and looking up.', 'center': 'Loopy is in the center, smiling.', 'right': 'Crong is on the right, looking at Pororo with eyes closed.', 'foreground': 'All characters are in the foreground, interacting.', 'background': 'The background is unclear, possibly showing a room.'}}","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides clear context about the characters and their actions, confirming that pororo apologizes to crong. the dialogue in the subtitles matches the pure language answer, reinforcing its accuracy.","the actions described in the visual description, such as pororo looking up and crong looking at him, support the dialogue context.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'sitting'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'stands up', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and sitting at a table.', 'right': 'The right region is empty.', 'foreground': 'Eddy is in the foreground, actively engaging.', 'background': 'The background contains indistinct objects.'}}","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear evidence that eddy stands up and indicates he is going to leave, which directly supports the conclusion that he did not stay longer after agreeing to sing.",the action of eddy standing up in the scene description confirms his intention to leave.,False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'raising hands'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink beaver', 'smiling'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'gathers', 'object': 'hands'}, {'subject': 'Poby', 'action': 'claps', 'object': 'hands'}, {'subject': 'Loopy', 'action': 'claps', 'object': 'hands'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Poby, a polar bear, is raising his hands and smiling.', 'center': 'The area is empty or unclear.', 'right': 'Loopy, a pink beaver, is smiling and clapping.', 'foreground': 'Poby and Loopy are both visible and engaged in clapping.', 'background': 'The interior of a wooden house is visible with windows.'}}","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","yes, eddy's entrance impressed the audience, as indicated by poby and loopy clapping and expressing excitement.","yes, eddy's entrance impressed the audience, as indicated by poby and loopy clapping and expressing excitement.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear evidence of poby and loopy clapping and expressing excitement, which directly supports the claim that eddy's entrance impressed the audience.",the actions of poby and loopy clapping their hands in the visual description confirm the audience's positive reaction.,False
