row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides context about the characters and their actions, which aligns with the dialogue in the pure language answer. the subtitle confirms eddy's question to pororo.","the scene description indicates that eddy is asking about pororo's actions, which is directly supported by the subtitle.",False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy.","yes, eddy's friends were interested in seeing his new toy.","1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description indicates that pororo and crong are looking at a car, which suggests interest in the toy, aligning with the pure language answer. however, the visual language answer is missing, leading to some uncertainty.","the scene description confirms that pororo and crong are engaged with the car, indicating their interest.",False
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy is looking at the book and questioning himself, which supports the dialogue provided in the pure language answer. the subtitle confirms eddy's inquiry about what to make, matching the context perfectly.","the visual shows eddy holding a book and appearing inquisitive, which corresponds to the dialogue and scene description.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","0.75,0.75,0.75",0.75,0.75,INSUFFICIENT,"the visual description provides context about pororo's actions, which aligns with the pure_language_answer. however, the specific emotional state (shy or contemplative) is not explicitly confirmed by the visual evidence.","the scene description indicates pororo is lowering his head, which supports the idea of him looking down.",False
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0,0.75,INSUFFICIENT,"the visual description indicates a scene involving pororo and crong, which aligns with the context of the explosion mentioned in the pure language answer. however, the visual does not explicitly show the bomb box or the explosion, leading to slightly lower confidence.","the visual shows pororo and crong, supporting the context of their interaction and crong's anger, which relates to the explosion.",False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description indicates a scene from ""pororo,"" which aligns with the dialogue context provided in the subtitles. the pure language answer matches the dialogue in the subtitles, confirming its accuracy.","the cartoon image depicts poby, which supports the context of the dialogue.",False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses that he placed the box there.,eddy confesses that he placed the box there.,"0.75,0.75,0.75",0.75,0.75,INSUFFICIENT,"the visual description does not provide enough context to confirm the action described in the question. however, the subtitles clearly indicate eddy's confession about placing the box, which aligns with the pure language answer.",not applicable as the visual description was insufficient.,False
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns well with the dialogue context, confirming pororo's apology to crong. the scene description and subtitles support the accuracy of the pure language answer.","the visual shows pororo lowering his head and looking up, which corresponds to the apology context.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information to determine whether eddy stayed longer after agreeing to sing. however, the pure language answer clearly states that eddy did not stay longer, which aligns with the subtitles indicating he is going to leave.",no visual evidence was used due to insufficient description.,False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where poby, loopy, and pororo are clapping, indicating that eddy's entrance impressed them.","the scene description confirms the characters' actions of clapping and expressing excitement, supporting the claim that eddy's entrance was impressive.",False
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that crong misses his shot, which directly supports the pure language answer stating he did not score.","the scene description confirms crong's action of missing the shot, aligning with the visual evidence of the basketball not going into the hoop.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description confirms that pororo is in a scene where he is apologizing to poby, which aligns with the question about whether he apologizes for knocking poby's things down. the subtitles also support this action.","the scene description and subtitles indicate that pororo is apologizing, which directly answers the question.",False
