row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"First, Eddy stands outside on the ice with Poby and Loopy, looking toward Pororo. Then, Eddy raises his hand and asks, ""Pororo what are you doing."" Finally, Crong passes by Eddy, Poby, and Loopy, moving in the direction of Pororo.",eddy asks pororo what he is doing.,"eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""",1.0,1.0,1.0,SUFFICIENT,"the visual description clearly outlines eddy's action of asking pororo what he is doing, which aligns with both the pure language and visual language answers.","the description states that eddy raises his hand and asks pororo, confirming the dialogue.",True
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","First, Pororo stands in the center of the room facing Eddy and Loopy. Then, Crong, who is on Pororo's left, looks up at Pororo with a smile. Next, Eddy, who is on Pororo's right, turns his body slightly towards Pororo while looking at him. Finally, Pororo says ""toy crong"" while gesturing towards Crong and the toy, indicating excitement.","yes, eddy's friends were interested in seeing his new toy as they ran toward it.","yes, eddy's friends were interested in seeing his new toy as they ran toward it excitedly.","yes, eddy's friends were interested in seeing his new toy as they ran toward it excitedly.",1.0,1.0,1.0,SUFFICIENT,"the visual description clearly indicates that eddy's friends are excited and running toward the toy, confirming their interest.","the description states that pororo and crong look at the car and run toward it, which aligns with the friends' interest in eddy's new toy.",False
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","First, Eddy stands with a book held in both hands close to his chest. Then, he looks down at the book with a smile on his face. Finally, he raises the book slightly while saying, ""what should I make today.""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts eddy's actions and dialogue, confirming the content of both the pure language and visual language answers.","the description of eddy holding the book and saying, ""what should i make today?"" aligns perfectly with the dialogue provided.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"First, Loopy stands with her hands on her sides, facing Pororo. Then, Pororo raises his right hand and places it on his head while lowering his head. Finally, Pororo looks down at the ground.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.",pororo looked to the ground after placing his hand on his head and lowering his head.,pororo looked to the ground after placing his hand on his head and lowering his head.,0.75,0.75,0.75,SUFFICIENT,"the visual description accurately depicts pororo's actions of placing his hand on his head and lowering it, which aligns with the question about why he looked to the ground. however, the emotional context (shyness or contemplation) is not explicitly supported by the visual evidence.",the description of pororo lowering his head and placing his hand on it directly supports the action of looking to the ground.,True
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"First, Pororo is sitting at a table, looking directly at Crong with a neutral expression. Then, Crong, who is sitting across from Pororo, has an angry expression and narrows his eyes while looking at Pororo. Suddenly, a bomb box appears in front of Crong, and it explodes, causing a burst of smoke and debris to fly towards Pororo's face. Finally, Pororo's eyes widen in surprise as he is engulfed in the explosion.",a bomb box that crong hid exploded in pororo's face.,"a bomb box that crong hid exploded in pororo's face, engulfing him in smoke and debris.",a bomb box that crong hid exploded in pororo's face.,1.0,1.0,1.0,SUFFICIENT,"the visual description clearly outlines the sequence of events leading to the explosion, confirming the accuracy of both answers regarding what exploded in pororo's face.","the description details the moment when the bomb box appears and explodes, directly supporting the answers provided.",False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"First, Poby moves his feet while standing on the ice. Then, he stops and looks around. Finally, he says ""why are you so jumpy"" while maintaining his position.","poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts poby's actions and confirms the dialogue he uses, aligning perfectly with the question.","the description of poby moving his feet and then asking ""why are you so jumpy"" directly supports the dialogue presented.",False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"First, Eddy stands in Loopy's house with a slight smile, lowering his ears a little. Then, he looks toward Loopy and Pororo, who are both facing him. Pororo is covered in dirt and looks at Eddy while Loopy also gazes in the same direction. Finally, Eddy says, ""to be honest with you I placed the box there"" while maintaining his smile and posture.",eddy confesses that he placed the box there.,"eddy confesses in loopy's house that he placed the box there, while smiling and addressing loopy and pororo.","eddy confesses in loopy's house that he placed the box there, while smiling and addressing loopy and pororo.",1.0,1.0,1.0,SUFFICIENT,"the visual description accurately captures the context of eddy's confession, including his actions, expressions, and the presence of loopy and pororo, which aligns with the question.",the description of eddy smiling and addressing loopy and pororo while confessing provides clear visual context for the action.,True
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"First, Pororo lowers his head and looks at the ground. Then, he raises his head and looks directly at Crong. Finally, Pororo says ""Crong, I apologize, I made a mistake"" while maintaining eye contact with Crong. Crong looks at Pororo and closes his eyes during this exchange. Loopy is present, observing the interaction.","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately captures the interaction between pororo and crong, confirming the dialogue presented in both the pure language and visual language answers.","the description of pororo lowering his head, looking at crong, and then apologizing aligns with the dialogue provided.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","First, Eddy sits at a table with a wide smile on his face. Then, he leans forward slightly, raising his hands in a gesture of excitement. Finally, he continues to smile while looking directly at the camera, indicating a cheerful demeanor.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.",1.0,1.0,1.0,SUFFICIENT,"the visual description indicates eddy's cheerful demeanor and gestures of excitement, which align with the context of him agreeing to sing but ultimately deciding to leave, as supported by the subtitles.","the description of eddy smiling and leaning forward suggests engagement, but the final action of him standing up indicates he is leaving.",False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","First, Poby stands in the foreground with his hands raised, looking directly at the camera. Then, Loopy and Pororo appear in the background, both clapping their hands. Poby continues to hold his hands up while smiling. Finally, the characters maintain their positions, and the scene conveys a sense of excitement as they engage in clapping.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as evidenced by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as evidenced by poby, loopy, and pororo clapping and expressing excitement.",1.0,1.0,1.0,SUFFICIENT,"the visual description clearly depicts the characters clapping and expressing excitement, directly supporting the claim that eddy's entrance impressed the audience.","the description of poby, loopy, and pororo clapping and showing excitement aligns with the overall impression of the audience.",False
