row_num,qid,video_name,gif_num,question,correct_answer,visual_description
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"1. **Visible Actions in Sequence**:
   - First, Eddy stands outside on the ice, looking toward Pororo.
   - Then, Poby and Loopy are positioned next to Eddy, also looking in the same direction.
   - After that, Crong passes by Eddy, Poby, and Loopy, moving in the direction of Pororo.

2. **Character Behaviors**:
   - Eddy appears to be looking intently at Pororo while speaking.
   - Poby and Loopy are standing close to Eddy, maintaining a curious posture.
   - Crong moves past the group, indicating a sense of urgency.

3. **Dialogue Integration**:
   - Eddy says ""Pororo what are you doing"" while looking toward Pororo and gesturing slightly with his hands.

This structure should help you create an objective narrative description based on the visible actions and events in the GIF."
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","First, Pororo stands in the center of the room, looking at Eddy, who is facing him. Crong is positioned to the left of Pororo, looking at Eddy as well. Then, Eddy raises his arms and gestures toward the car, indicating excitement. Crong's eyes widen, and he leans slightly forward, showing interest. 

While this is happening, Pororo turns his head to look at the car, then back at Eddy. Eddy says ""toy crong"" while pointing at the car with enthusiasm. After that, Pororo and Crong both run toward the car, with Crong following closely behind Pororo. 

The characters are actively engaged in the scene, with visible movements and gestures that suggest they are interested in the toy."
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","First, Eddy holds a book close to his chest with both hands. Then, he tilts his head slightly to the side while looking at the book. Finally, he smiles broadly, showing his teeth, and raises the book slightly as if presenting it. 

Eddy says ""what should I make today"" while looking at the book and smiling."
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"First, Loopy puts her hands on her sides. Then, Pororo raises his right hand and places it on his head. After that, Pororo lowers his head."
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"First, Pororo is sitting at a table, looking directly at Crong with a neutral expression. Then, Crong, who is standing close to the table, turns his head slightly and narrows his eyes, displaying an angry expression. After that, a bomb box suddenly appears in the scene, and it explodes, causing a burst of smoke and debris to fly towards Pororo's face. 

During this sequence, Pororo does not move from his position at the table, while Crong remains standing, maintaining his angry posture throughout the explosion."
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"First, Poby moves his feet in a quick, shuffling motion. Then, he stops and looks around, appearing alert. While doing this, he says, ""why are you so jumpy."""
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"First, Eddy lowers his ears slightly while facing Loopy and Pororo. Then, Loopy and Pororo both look in the same direction, maintaining their gaze. Pororo is visibly covered in dirt. 

Eddy says, ""to be honest with you i placed the box there"" while lowering his ears and looking at Loopy and Pororo."
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"First, Pororo lowers his head and looks down. Then, he raises his head and looks at Crong. Crong closes his eyes and looks at Pororo. While doing this, Pororo says, ""Crong, I apologize, I made a mistake."""
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","First, Eddy turns his head to his left. Then, he stands up from his seated position. Finally, he appears to be preparing to leave the scene."
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","1. **Visible Actions in Sequence**:
   - First, Poby stands with his arms raised and hands open, facing the audience.
   - Then, Loopy and Pororo are positioned beside Poby, both clapping their hands.
   - Finally, Poby continues to hold his hands up while looking at the audience.

2. **Character Behaviors**:
   - Poby raises his hands and keeps them open, indicating a welcoming gesture.
   - Loopy and Pororo are actively clapping their hands, showing enthusiasm.
   - Poby maintains a forward-facing posture, while Loopy and Pororo are slightly angled towards him.

3. **Dialogue Integration**:
   - Poby says ""wow eddy cool"" while raising his hands and looking at the audience."
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"First, the basketball is seen bouncing off the rim of the hoop. Then, the ball rolls away from the hoop and comes to a stop on the floor. There is no indication of Crong scoring a basket."
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"First, Pororo looks up at Poby with his eyes slightly closed. Then, he raises his hand and gestures toward the ground. While doing this, he says, ""oh sorry poby i will clean it up."" After that, Pororo lowers his head slightly and maintains eye contact with Poby."
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"First, Eddy stands next to Poby and looks at him. Then, Eddy raises his hand and gestures as he speaks. While doing this, he says, ""Poby, we are going to leave now."" Meanwhile, Poby remains still, facing Eddy. After that, Loopy is seen standing beside Eddy, looking at Poby as well. The scene shows a bed in the background, and the room appears to be in disarray."
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"First, Pororo places the camera on the floor. Then, he turns around and walks toward the door. Meanwhile, Poby stands still, facing Pororo. As Pororo leaves, he looks back briefly at Poby. The dialogue ""and this"" is spoken while Pororo is placing the camera down. Finally, Pororo exits the scene, leaving the camera behind."
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"First, the dandelion flower is shown in a pot, visibly wilted with brown petals. Then, the camera focuses on the flower, emphasizing its drooping position. Finally, the scene remains static, highlighting the wilted state of the flower in front of the window."
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"First, Loopy is standing at a table, wearing a chef hat. Then, she smiles and stirs a bowl with a spoon. While stirring, Loopy looks directly at the camera. Finally, she continues to mix the contents in the bowl. 

Loopy says ""we are going on a picnic tomorrow"" while smiling and stirring the bowl."
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","First, Crong opens his mouth wide, indicating surprise. Then, he shakes his head from side to side. Crong is holding a lamp in his left hand, which is not lit. The background shows a dark night sky with trees, enhancing the scene's atmosphere."
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"First, Loopy holds a salt bottle above the mixing bowl. Then, she tilts the salt bottle to pour a small amount of salt into the bowl. Finally, she returns the salt bottle to a resting position. 

While performing these actions, Loopy says, ""okay now a little salt."""
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","First, Eddy stands with a slight lean forward, looking animated and engaged. Then, he raises his arms slightly, gesturing as he speaks. Finally, he smiles broadly, showing his teeth while maintaining an upright posture. 

While saying, ""he must have run away after he saw us,"" Eddy's facial expression is cheerful, and he appears to be excited about his guess."
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"First, Pororo sits at the table, holding a glass of juice and smiling. Then, Loopy, who is next to Pororo, raises her glass and takes a sip. Crong stands beside Loopy, looking at her while holding his own glass. Poby, the polar bear, is positioned at the back, observing the group with a neutral expression.

While Crong is looking at Loopy, he says ""crong."" After that, Loopy lowers her glass and looks at Crong, maintaining a cheerful demeanor. The characters are all engaged in drinking juice and interacting with each other around the table."
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","First, Pororo stands facing Loopy, looking directly at her. Then, he raises his hand slightly while asking, ""what was it that you did a minute ago."" As he speaks, Loopy touches her face with her hand, appearing to think or respond to his question. The background shows a clear blue sky and snowy land, with trees visible in the distance."
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"First, Poby scratches his head with his right paw. Then, he lowers his paw down to his side. While doing this, he says, ""I could not sleep."""
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,"First, Poby stands with his arms outstretched and a wide smile on his face. Then, he closes his eyes and tilts his head slightly back, maintaining his joyful expression. After that, he opens his eyes and lowers his arms, still smiling."
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"First, Pororo stands up and raises his left arm. Then, Crong slides down behind Pororo. While this is happening, Pororo says, ""hey why did not you move."""
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"First, Loopy stands in the center of the scene, smiling while holding a vase with flowers in it. Then, she raises her other hand slightly, gesturing as she speaks. While doing this, she says, ""so go ahead ask me anything."" Eddy and Pororo are sitting on the ground, looking at her. Their positions remain stable as they listen to her."
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,"First, Pororo stands still with a furrowed brow and a slight frown. Then, he looks to the side, appearing to contemplate something. After that, he raises his hand slightly, as if to gesture or signal. 

While doing this, Pororo says, ""what should I do."" His body posture remains tense, and he continues to look around, indicating a moment of uncertainty."
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","First, Loopy, Poby, and Eddy lean over the edge of a hole, looking down. Then, they open their mouths wide, indicating they are speaking. Finally, they maintain their positions while looking down into the hole.

Loopy raises her eyebrows and has a surprised expression. Poby has his mouth open in a circular shape, and Eddy wears glasses, appearing focused as he looks down. The three characters are positioned closely together, with their heads peering into the hole.

While they are looking down, they say, ""we are here to save you."""
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"First, Loopy is smiling and facing Pororo and Crong. Then, she raises her hands to her mouth and sticks out her tongue. While doing this, she says, ""did you think you could play a trick on me."" Finally, she maintains her playful posture with her hands still around her mouth."
